"dgp","idx_d","idx_T","d","T_sample","truth_seed"
"dgp1",1,1,5,100,20270001
"dgp1",1,2,5,200,20270001
"dgp1",1,3,5,300,20270001
"dgp1",1,4,5,500,20270001
"dgp1",1,5,5,1000,20270001
"dgp1",1,6,5,2000,20270001
"dgp1",2,1,10,100,20270002
"dgp1",2,2,10,200,20270002
"dgp1",2,3,10,300,20270002
"dgp1",2,4,10,500,20270002
"dgp1",2,5,10,1000,20270002
"dgp1",2,6,10,2000,20270002
"dgp1",3,1,15,100,20270003
"dgp1",3,2,15,200,20270003
"dgp1",3,3,15,300,20270003
"dgp1",3,4,15,500,20270003
"dgp1",3,5,15,1000,20270003
"dgp1",3,6,15,2000,20270003
"dgp1",4,1,20,100,20270004
"dgp1",4,2,20,200,20270004
"dgp1",4,3,20,300,20270004
"dgp1",4,4,20,500,20270004
"dgp1",4,5,20,1000,20270004
"dgp1",4,6,20,2000,20270004
"dgp1",5,1,25,100,20270005
"dgp1",5,2,25,200,20270005
"dgp1",5,3,25,300,20270005
"dgp1",5,4,25,500,20270005
"dgp1",5,5,25,1000,20270005
"dgp1",5,6,25,2000,20270005
"dgp1",6,1,30,100,20270006
"dgp1",6,2,30,200,20270006
"dgp1",6,3,30,300,20270006
"dgp1",6,4,30,500,20270006
"dgp1",6,5,30,1000,20270006
"dgp1",6,6,30,2000,20270006
"dgp2",1,1,5,100,20271001
"dgp2",1,2,5,200,20271001
"dgp2",1,3,5,300,20271001
"dgp2",1,4,5,500,20271001
"dgp2",1,5,5,1000,20271001
"dgp2",1,6,5,2000,20271001
"dgp2",2,1,10,100,20271002
"dgp2",2,2,10,200,20271002
"dgp2",2,3,10,300,20271002
"dgp2",2,4,10,500,20271002
"dgp2",2,5,10,1000,20271002
"dgp2",2,6,10,2000,20271002
"dgp2",3,1,15,100,20271003
"dgp2",3,2,15,200,20271003
"dgp2",3,3,15,300,20271003
"dgp2",3,4,15,500,20271003
"dgp2",3,5,15,1000,20271003
"dgp2",3,6,15,2000,20271003
"dgp2",4,1,20,100,20271004
"dgp2",4,2,20,200,20271004
"dgp2",4,3,20,300,20271004
"dgp2",4,4,20,500,20271004
"dgp2",4,5,20,1000,20271004
"dgp2",4,6,20,2000,20271004
"dgp2",5,1,25,100,20271005
"dgp2",5,2,25,200,20271005
"dgp2",5,3,25,300,20271005
"dgp2",5,4,25,500,20271005
"dgp2",5,5,25,1000,20271005
"dgp2",5,6,25,2000,20271005
"dgp2",6,1,30,100,20271006
"dgp2",6,2,30,200,20271006
"dgp2",6,3,30,300,20271006
"dgp2",6,4,30,500,20271006
"dgp2",6,5,30,1000,20271006
"dgp2",6,6,30,2000,20271006
"dgp3",1,1,5,100,20272001
"dgp3",1,2,5,200,20272001
"dgp3",1,3,5,300,20272001
"dgp3",1,4,5,500,20272001
"dgp3",1,5,5,1000,20272001
"dgp3",1,6,5,2000,20272001
"dgp3",2,1,10,100,20272002
"dgp3",2,2,10,200,20272002
"dgp3",2,3,10,300,20272002
"dgp3",2,4,10,500,20272002
"dgp3",2,5,10,1000,20272002
"dgp3",2,6,10,2000,20272002
"dgp3",3,1,15,100,20272003
"dgp3",3,2,15,200,20272003
"dgp3",3,3,15,300,20272003
"dgp3",3,4,15,500,20272003
"dgp3",3,5,15,1000,20272003
"dgp3",3,6,15,2000,20272003
"dgp3",4,1,20,100,20272004
"dgp3",4,2,20,200,20272004
"dgp3",4,3,20,300,20272004
"dgp3",4,4,20,500,20272004
"dgp3",4,5,20,1000,20272004
"dgp3",4,6,20,2000,20272004
"dgp3",5,1,25,100,20272005
"dgp3",5,2,25,200,20272005
"dgp3",5,3,25,300,20272005
"dgp3",5,4,25,500,20272005
"dgp3",5,5,25,1000,20272005
"dgp3",5,6,25,2000,20272005
"dgp3",6,1,30,100,20272006
"dgp3",6,2,30,200,20272006
"dgp3",6,3,30,300,20272006
"dgp3",6,4,30,500,20272006
"dgp3",6,5,30,1000,20272006
"dgp3",6,6,30,2000,20272006
