"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,1,1,5,100,20270001,20361327
"dgp1",1,1,2,5,100,20270001,20361328
"dgp1",1,1,3,5,100,20270001,20361329
"dgp1",1,1,4,5,100,20270001,20361330
"dgp1",1,1,5,5,100,20270001,20361331
"dgp1",1,1,6,5,100,20270001,20361332
"dgp1",1,1,7,5,100,20270001,20361333
"dgp1",1,1,8,5,100,20270001,20361334
"dgp1",1,1,9,5,100,20270001,20361335
"dgp1",1,1,10,5,100,20270001,20361336
"dgp1",1,1,11,5,100,20270001,20361337
"dgp1",1,1,12,5,100,20270001,20361338
"dgp1",1,1,13,5,100,20270001,20361339
"dgp1",1,1,14,5,100,20270001,20361340
"dgp1",1,1,15,5,100,20270001,20361341
"dgp1",1,1,16,5,100,20270001,20361342
"dgp1",1,1,17,5,100,20270001,20361343
"dgp1",1,1,18,5,100,20270001,20361344
"dgp1",1,1,19,5,100,20270001,20361345
"dgp1",1,1,20,5,100,20270001,20361346
"dgp1",1,1,21,5,100,20270001,20361347
"dgp1",1,1,22,5,100,20270001,20361348
"dgp1",1,1,23,5,100,20270001,20361349
"dgp1",1,1,24,5,100,20270001,20361350
"dgp1",1,1,25,5,100,20270001,20361351
"dgp1",1,1,26,5,100,20270001,20361352
"dgp1",1,1,27,5,100,20270001,20361353
"dgp1",1,1,28,5,100,20270001,20361354
"dgp1",1,1,29,5,100,20270001,20361355
"dgp1",1,1,30,5,100,20270001,20361356
"dgp1",1,1,31,5,100,20270001,20361357
"dgp1",1,1,32,5,100,20270001,20361358
"dgp1",1,1,33,5,100,20270001,20361359
"dgp1",1,1,34,5,100,20270001,20361360
"dgp1",1,1,35,5,100,20270001,20361361
"dgp1",1,1,36,5,100,20270001,20361362
"dgp1",1,1,37,5,100,20270001,20361363
"dgp1",1,1,38,5,100,20270001,20361364
"dgp1",1,1,39,5,100,20270001,20361365
"dgp1",1,1,40,5,100,20270001,20361366
"dgp1",1,1,41,5,100,20270001,20361367
"dgp1",1,1,42,5,100,20270001,20361368
"dgp1",1,1,43,5,100,20270001,20361369
"dgp1",1,1,44,5,100,20270001,20361370
"dgp1",1,1,45,5,100,20270001,20361371
"dgp1",1,1,46,5,100,20270001,20361372
"dgp1",1,1,47,5,100,20270001,20361373
"dgp1",1,1,48,5,100,20270001,20361374
"dgp1",1,1,49,5,100,20270001,20361375
"dgp1",1,1,50,5,100,20270001,20361376
"dgp1",1,1,51,5,100,20270001,20361377
"dgp1",1,1,52,5,100,20270001,20361378
"dgp1",1,1,53,5,100,20270001,20361379
