"tuning","family","solver","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","aggregate"
"theory","lasso","glmnet",108,2.06481481481481,1.9537037037037,2,2,2.00462962962963
"theory","lasso","admm",108,1.86111111111111,2.07407407407407,2,2,1.9837962962963
"theory","lasso","fista",108,2.07407407407407,1.97222222222222,2,2,2.01157407407407
"theory","adaptive","glmnet",108,2.2037037037037,1.89351851851852,2,2,2.02430555555556
"theory","adaptive","admm",108,1.59259259259259,2.16203703703704,2,2,1.93865740740741
"theory","adaptive","fista",108,2.2037037037037,1.94444444444444,2,2,2.03703703703704
"cv","lasso","glmnet",108,2.06018518518519,2.00925925925926,2,2,2.01736111111111
"cv","lasso","admm",108,1.85648148148148,2.03240740740741,2,2,1.97222222222222
"cv","lasso","fista",108,2.08333333333333,1.95833333333333,2,2,2.01041666666667
"cv","adaptive","glmnet",108,2.06481481481481,1.9537037037037,2,2,2.00462962962963
"cv","adaptive","admm",108,1.86111111111111,2.00462962962963,2,2,1.96643518518519
"cv","adaptive","fista",108,2.07407407407407,2.04166666666667,2,2,2.02893518518519
