"tuning","family","solver","dgp","d","T_sample","nrep_eff","frob_mean","frob_median","frob_sd","frob_sq_mean","frob_sq_median","frob_sq_sd","msfe_mean","msfe_median","msfe_sd","rmfe_mean","rmfe_median","rmfe_sd","hamming_mean","hamming_median","hamming_sd","precision_mean","precision_median","precision_sd","recall_mean","recall_median","recall_sd","F1_mean","F1_median","F1_sd","TP_mean","TP_median","TP_sd","FP_mean","FP_median","FP_sd","FN_mean","FN_median","FN_sd","TN_mean","TN_median","TN_sd","support_true_mean","support_true_median","support_true_sd","support_hat_mean","support_hat_median","support_hat_sd","off_hamming_mean","off_hamming_median","off_hamming_sd","off_precision_mean","off_precision_median","off_precision_sd","off_recall_mean","off_recall_median","off_recall_sd","off_F1_mean","off_F1_median","off_F1_sd","off_TP_mean","off_TP_median","off_TP_sd","off_FP_mean","off_FP_median","off_FP_sd","off_FN_mean","off_FN_median","off_FN_sd","off_TN_mean","off_TN_median","off_TN_sd","support_true_offdiag_mean","support_true_offdiag_median","support_true_offdiag_sd","support_hat_offdiag_mean","support_hat_offdiag_median","support_hat_offdiag_sd","rho_true_mean","rho_true_median","rho_true_sd","rho_hat_mean","rho_hat_median","rho_hat_sd","runtime_seconds_mean","runtime_seconds_median","runtime_seconds_sd","objective_mean","objective_median","objective_sd","objective_gap_mean","objective_gap_median","objective_gap_sd","kkt_max_mean","kkt_max_median","kkt_max_sd","n_solver_zeroed_mean","n_solver_zeroed_median","n_solver_zeroed_sd","max_solver_zeroed_abs_mean","max_solver_zeroed_abs_median","max_solver_zeroed_abs_sd","B_diff_to_fista_mean","B_diff_to_fista_median","B_diff_to_fista_sd","Phi_diff_to_fista_mean","Phi_diff_to_fista_median","Phi_diff_to_fista_sd","reference_tuning_seconds_mean","reference_tuning_seconds_median","reference_tuning_seconds_sd","reference_pilot_seconds_mean","reference_pilot_seconds_median","reference_pilot_seconds_sd","admm_convergence_rate","rank_frob","rank_rmfe","rank_hamming","rank_F1"
"cv","adaptive","glmnet","dgp1",5,100,100,0.308761018840348,0.288029936882813,0.102634129521832,0.105761793652607,0.0829612586095121,0.0709241607058567,5.12050435718279,5.14679231308177,0.363241696095966,2.26143457443448,2.26865386383846,0.0805161551965129,0.0668,0.04,0.103912161818227,0.867453810809074,0.888888888888889,0.156308322899037,0.99875,1,0.0125,0.919977823755889,0.941176470588235,0.102900708262544,7.99,8,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,8,8,0,9.65,9,2.60293152527156,0.0835,0.05,0.129890202272784,0.760517592057066,0.75,0.244689093325741,0.996666666666667,1,0.0333333333333333,0.837958232943527,0.857142857142857,0.182121178984712,2.99,3,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,3,3,0,4.65,4,2.60293152527156,0.465874281184537,0.465874281184537,0,0.549230044984091,0.54746619746567,0.0538630782109366,0.0214,0.02,0.00887852931674406,3.42675550013917,3.45490520093385,0.213178749600042,3.12549985892474e-14,1.55431223447522e-15,9.19630013518861e-14,1.68052005342214e-07,9.13032237553509e-08,2.1197518639349e-07,0,0,0,0,0,0,1.39918652869618e-07,5.92598317540118e-08,1.92996866561622e-07,1.47418285071242e-07,6.48298286554067e-08,2.0066013534219e-07,0.2604,0.26,0.023134215335557,0,0,0,NA,1.5,2,2,2
"cv","adaptive","admm","dgp1",5,100,100,0.308761027650902,0.28802997221598,0.102634128690023,0.105761798924282,0.0829612789694651,0.0709241625980426,5.12050437036787,5.14679227968705,0.36324169622938,2.26143457735341,2.26865385647919,0.0805161550907426,0.0668,0.04,0.103912161818227,0.867453810809074,0.888888888888889,0.156308322899037,0.99875,1,0.0125,0.919977823755889,0.941176470588235,0.102900708262544,7.99,8,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,8,8,0,9.65,9,2.60293152527156,0.0835,0.05,0.129890202272784,0.760517592057066,0.75,0.244689093325741,0.996666666666667,1,0.0333333333333333,0.837958232943527,0.857142857142857,0.182121178984712,2.99,3,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,3,3,0,4.65,4,2.60293152527156,0.465874281184537,0.465874281184537,0,0.549230022510933,0.547466235965231,0.0538630477814913,0.000900000000000034,0,0.00350900716914801,3.42675550013916,3.45490520093385,0.213178749600069,1.30118138486068e-14,7.7715611723761e-15,1.5673558926472e-14,1.57426727826088e-07,1.33951499343065e-07,9.75544001738502e-08,15.35,16,2.60293152527156,2.85892342342202e-07,2.79119566574787e-07,5.23948938397216e-08,1.30231438870589e-07,1.05094331804751e-07,1.02510940457624e-07,1.40491499428978e-07,1.12319823204437e-07,1.17103790853763e-07,0.2604,0.26,0.023134215335557,0,0,0,1,3,2,2,2
"cv","adaptive","fista","dgp1",5,100,100,0.308761024952348,0.288029936658189,0.102634132393448,0.105761798010458,0.082961258479423,0.0709241619321382,5.12050436966276,5.14679230911903,0.363241688083872,2.26143457726687,2.26865386296279,0.0805161531228202,0.0668,0.04,0.103912161818227,0.867453810809074,0.888888888888889,0.156308322899037,0.99875,1,0.0125,0.919977823755889,0.941176470588235,0.102900708262544,7.99,8,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,8,8,0,9.65,9,2.60293152527156,0.0835,0.05,0.129890202272784,0.760517592057066,0.75,0.244689093325741,0.996666666666667,1,0.0333333333333333,0.837958232943527,0.857142857142857,0.182121178984712,2.99,3,0.1,1.66,1,2.59844553376037,0.01,0,0.1,15.34,16,2.59844553376037,3,3,0,4.65,4,2.60293152527156,0.465874281184537,0.465874281184537,0,0.549230020026008,0.547466196987895,0.0538630550853792,0.000299999999999994,0,0.00222701503353609,3.42675550013915,3.45490520093386,0.213178749600072,6.84785561588797e-15,0,3.74720323402634e-14,4.69234049501638e-08,2.20022117816687e-08,8.80100114219361e-08,0,0,0,0,0,0,0,0,0,0,0,0,0.2604,0.26,0.023134215335557,0,0,0,NA,1.5,2,2,2
"cv","adaptive","glmnet","dgp1",5,200,100,0.202343142272826,0.195829218576359,0.0580835394125681,0.0442827078000254,0.0383495014671078,0.025130460198144,5.03489499752364,5.0695328517278,0.32832375785282,2.2426687207508,2.25156230547565,0.0733884537309233,0.0384,0,0.0700752841916853,0.914488622488623,1,0.11806681606733,1,1,0,0.950828276853759,1,0.0743362326535141,8,8,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,8,8,0,8.96,8,1.75188210479213,0.048,0,0.0875941052396066,0.833982142857143,1,0.201049775175256,1,1,0,0.894442110521058,1,0.140067421274197,3,3,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,3,3,0,3.96,3,1.75188210479213,0.465874281184537,0.465874281184537,0,0.535066625475676,0.52527696801529,0.0501716237219963,0.0252,0.0299999999999994,0.00926381032935041,3.39182715591491,3.38084172418625,0.151906293783593,1.0875744749228e-14,8.88178419700125e-16,3.60849618007441e-14,1.14382999636069e-07,7.2021569511741e-08,1.37925152774827e-07,0,0,0,0,0,0,8.44090751078469e-08,5.47154276401903e-08,1.02452690942876e-07,8.96216271868213e-08,6.17884345186014e-08,1.05346491937432e-07,0.2943,0.299999999999999,0.015059142664102,0.000199999999999996,0,0.00199999999999996,NA,3,2,2,2
"cv","adaptive","admm","dgp1",5,200,100,0.202343138411354,0.195829214899382,0.0580835400622723,0.0442827063120603,0.0383495000037907,0.025130460108746,5.03489500029508,5.06953282669471,0.328323755986239,2.24266872138106,2.25156229991687,0.073388453349129,0.0384,0,0.0700752841916853,0.914488622488623,1,0.11806681606733,1,1,0,0.950828276853759,1,0.0743362326535141,8,8,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,8,8,0,8.96,8,1.75188210479213,0.048,0,0.0875941052396066,0.833982142857143,1,0.201049775175256,1,1,0,0.894442110521058,1,0.140067421274197,3,3,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,3,3,0,3.96,3,1.75188210479213,0.465874281184537,0.465874281184537,0,0.535066617503821,0.525276911591842,0.0501716226913117,0.000299999999999994,0,0.00171446607997762,3.39182715591491,3.38084172418626,0.151906293783601,8.54871728961371e-15,4.44089209850063e-15,1.16950092606602e-14,1.23772339838707e-07,1.00683147392175e-07,8.68969308751513e-08,16.04,17,1.75188210479213,2.75814324196774e-07,2.67540372546394e-07,4.68480622470447e-08,9.25644242719772e-08,8.2100582230238e-08,5.37077277208861e-08,9.68441503311285e-08,8.50480720036954e-08,5.46387530176294e-08,0.2943,0.299999999999999,0.015059142664102,0.000199999999999996,0,0.00199999999999996,1,2,2,2,2
"cv","adaptive","fista","dgp1",5,200,100,0.202343133975144,0.195829177916739,0.0580835380323481,0.0442827042833349,0.0383494855051363,0.0251304591775824,5.03489499375091,5.06953284755424,0.328323753205414,2.24266871994179,2.25156230454919,0.0733884527395945,0.0384,0,0.0700752841916853,0.914488622488623,1,0.11806681606733,1,1,0,0.950828276853759,1,0.0743362326535141,8,8,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,8,8,0,8.96,8,1.75188210479213,0.048,0,0.0875941052396066,0.833982142857143,1,0.201049775175256,1,1,0,0.894442110521058,1,0.140067421274197,3,3,0,0.96,0,1.75188210479213,0,0,0,16.04,17,1.75188210479213,3,3,0,3.96,3,1.75188210479213,0.465874281184537,0.465874281184537,0,0.535066614918993,0.525276968011448,0.0501716171560047,0.000400000000000009,0,0.00281410588272586,3.3918271559149,3.38084172418625,0.151906293783601,1.18127729820117e-15,0,5.23182180848072e-15,3.0315106805313e-08,1.63809395872264e-08,3.62578998843027e-08,0,0,0,0,0,0,0,0,0,0,0,0,0.2943,0.299999999999999,0.015059142664102,0.000199999999999996,0,0.00199999999999996,NA,1,2,2,2
"cv","adaptive","glmnet","dgp1",5,300,100,0.159959674591079,0.159250543165823,0.0424326371694541,0.0273696209054669,0.025360951476226,0.0150232079699939,5.00997155798165,5.00954064121634,0.291949069677465,2.23735730353194,2.2381996508013,0.0651637743598372,0.0296,0,0.061396541869517,0.934638694638695,1,0.114009676581172,1,1,0,0.962126308952261,1,0.0703953728680335,8,8,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,8,8,0,8.74,8,1.53491354673792,0.037,0,0.0767456773368962,0.875704545454545,1,0.196973059676742,1,1,0,0.919712787212787,1,0.136031998305624,3,3,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,3,3,0,3.74,3,1.53491354673792,0.465874281184537,0.465874281184537,0,0.520668204588893,0.518379356709634,0.0376419413807501,0.0197999999999999,0.0199999999999996,0.00974212969063168,3.36532351822428,3.38906520436343,0.134943106832633,3.83693077310454e-15,8.88178419700125e-16,1.23285545371094e-14,7.59317631859243e-08,5.6158948300403e-08,7.67612575348217e-08,0,0,0,0,0,0,6.37833320635816e-08,4.12411612355842e-08,6.55987503661726e-08,6.77505017077036e-08,4.41677459477267e-08,6.80065535514667e-08,0.3217,0.329999999999998,0.0224758006789883,9.99999999999979e-05,0,0.000999999999999979,NA,2.5,3,2,2
"cv","adaptive","admm","dgp1",5,300,100,0.159959673261114,0.159250516258975,0.0424326378874387,0.0273696205403081,0.0253609429203374,0.015023207574309,5.00997156305665,5.00954061472524,0.291949067793001,2.2373573046811,2.23819964488422,0.0651637738394637,0.0296,0,0.061396541869517,0.934638694638695,1,0.114009676581172,1,1,0,0.962126308952261,1,0.0703953728680335,8,8,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,8,8,0,8.74,8,1.53491354673792,0.037,0,0.0767456773368962,0.875704545454545,1,0.196973059676742,1,1,0,0.919712787212787,1,0.136031998305624,3,3,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,3,3,0,3.74,3,1.53491354673792,0.465874281184537,0.465874281184537,0,0.520668198107917,0.5183793519134,0.0376419318980732,0.000399999999999974,0,0.0024287836253955,3.36532351822428,3.38906520436343,0.134943106832635,3.67705865755852e-15,2.22044604925031e-15,4.12125382254556e-15,8.48684932051805e-08,7.48162227186085e-08,4.62272817084504e-08,16.26,17,1.53491354673792,2.72081194317961e-07,2.66945749443947e-07,4.37584081186311e-08,6.97852999917937e-08,6.06690233947512e-08,4.01528437313272e-08,7.48798809622906e-08,6.55890508693367e-08,4.63335278547401e-08,0.3217,0.329999999999998,0.0224758006789883,9.99999999999979e-05,0,0.000999999999999979,1,1,1.5,2,2
"cv","adaptive","fista","dgp1",5,300,100,0.159959671132297,0.159250540487566,0.0424326346866592,0.0273696195903395,0.0253609506251776,0.015023205014517,5.00997155748265,5.00954063164359,0.291949068114926,2.23735730343129,2.23819964866124,0.0651637739831636,0.0296,0,0.061396541869517,0.934638694638695,1,0.114009676581172,1,1,0,0.962126308952261,1,0.0703953728680335,8,8,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,8,8,0,8.74,8,1.53491354673792,0.037,0,0.0767456773368962,0.875704545454545,1,0.196973059676742,1,1,0,0.919712787212787,1,0.136031998305624,3,3,0,0.74,0,1.53491354673792,0,0,0,16.26,17,1.53491354673792,3,3,0,3.74,3,1.53491354673792,0.465874281184537,0.465874281184537,0,0.520668193309161,0.5183793566953,0.0376419346479167,0,0,0,3.36532351822428,3.38906520436343,0.134943106832637,1.30118138486068e-15,0,6.74890901322391e-15,2.74090376326239e-08,1.63773310186603e-08,3.69571771511382e-08,0,0,0,0,0,0,0,0,0,0,0,0,0.3217,0.329999999999998,0.0224758006789883,9.99999999999979e-05,0,0.000999999999999979,NA,2.5,1.5,2,2
"cv","adaptive","glmnet","dgp1",5,500,100,0.118766320802558,0.119055892324483,0.0298491451478584,0.0149875007083735,0.0141743061580308,0.00738058811840875,5.0676141954599,5.04822601583647,0.314408570857677,2.25006920122668,2.24682547363996,0.0696512608094333,0.0276,0,0.0616788685716821,0.941018236665295,1,0.118464166346667,1,1,0,0.965242891542582,1,0.0725251635157835,8,8,0,0.69,0,1.54197171429205,0,0,0,16.31,17,1.54197171429205,8,8,0,8.69,8,1.54197171429205,0.0345,0,0.0770985857146026,0.892571428571429,1,0.202919883393617,1,1,0,0.928294372294372,1,0.141475114757504,3,3,0,0.69,0,1.54197171429205,0,0,0,16.31,17,1.54197171429205,3,3,0,3.69,3,1.54197171429205,0.465874281184537,0.465874281184537,0,0.512025808504511,0.507214376846893,0.0327766600763269,0.0203,0.0199999999999996,0.00797154028688636,3.34732320900983,3.3392366463024,0.0828805180923673,2.8199664825479e-15,4.44089209850063e-16,5.43433382326805e-15,7.563227409036e-08,5.77028156045122e-08,6.5507881414564e-08,0,0,0,0,0,0,5.8772379632371e-08,4.26729884825267e-08,5.15827691189391e-08,6.28724343258074e-08,4.46561222432577e-08,5.54630188987042e-08,0.4049,0.389999999999998,0.0667650032319752,9.99999999999979e-05,0,0.000999999999999979,NA,2,2,2,2
