"dgp","idx_d","d","idx_T","T_sample","truth_seed","rho_true","support_true","support_true_offdiag"
"dgp1",1,5,1,100,20270001,0.465874281184537,8,3
"dgp1",1,5,2,200,20270001,0.465874281184537,8,3
"dgp1",1,5,3,300,20270001,0.465874281184537,8,3
"dgp1",1,5,4,500,20270001,0.465874281184537,8,3
"dgp1",1,5,5,1000,20270001,0.465874281184537,8,3
"dgp1",1,5,6,2000,20270001,0.465874281184537,8,3
"dgp1",2,10,1,100,20270002,0.426347938361315,17,7
"dgp1",2,10,2,200,20270002,0.426347938361315,17,7
"dgp1",2,10,3,300,20270002,0.426347938361315,17,7
"dgp1",2,10,4,500,20270002,0.426347938361315,17,7
"dgp1",2,10,5,1000,20270002,0.426347938361315,17,7
"dgp1",2,10,6,2000,20270002,0.426347938361315,17,7
"dgp1",3,15,1,100,20270003,0.66128703903372,35,20
"dgp1",3,15,2,200,20270003,0.66128703903372,35,20
"dgp1",3,15,3,300,20270003,0.66128703903372,35,20
"dgp1",3,15,4,500,20270003,0.66128703903372,35,20
"dgp1",3,15,5,1000,20270003,0.66128703903372,35,20
"dgp1",3,15,6,2000,20270003,0.66128703903372,35,20
"dgp1",4,20,1,100,20270004,0.707496609272667,68,48
"dgp1",4,20,2,200,20270004,0.707496609272667,68,48
"dgp1",4,20,3,300,20270004,0.707496609272667,68,48
"dgp1",4,20,4,500,20270004,0.707496609272667,68,48
"dgp1",4,20,5,1000,20270004,0.707496609272667,68,48
"dgp1",4,20,6,2000,20270004,0.707496609272667,68,48
"dgp1",5,25,1,100,20270005,0.772600785878824,94,69
"dgp1",5,25,2,200,20270005,0.772600785878824,94,69
"dgp1",5,25,3,300,20270005,0.772600785878824,94,69
"dgp1",5,25,4,500,20270005,0.772600785878824,94,69
"dgp1",5,25,5,1000,20270005,0.772600785878824,94,69
"dgp1",5,25,6,2000,20270005,0.772600785878824,94,69
"dgp1",6,30,1,100,20270006,0.748855720453578,120,90
"dgp1",6,30,2,200,20270006,0.748855720453578,120,90
"dgp1",6,30,3,300,20270006,0.748855720453578,120,90
"dgp1",6,30,4,500,20270006,0.748855720453578,120,90
"dgp1",6,30,5,1000,20270006,0.748855720453578,120,90
"dgp1",6,30,6,2000,20270006,0.748855720453578,120,90
"dgp2",1,5,1,100,20271001,0.895577169623564,13,8
"dgp2",1,5,2,200,20271001,0.895577169623564,13,8
"dgp2",1,5,3,300,20271001,0.895577169623564,13,8
"dgp2",1,5,4,500,20271001,0.895577169623564,13,8
"dgp2",1,5,5,1000,20271001,0.895577169623564,13,8
"dgp2",1,5,6,2000,20271001,0.895577169623564,13,8
"dgp2",2,10,1,100,20271002,0.896700321549817,28,18
"dgp2",2,10,2,200,20271002,0.896700321549817,28,18
"dgp2",2,10,3,300,20271002,0.896700321549817,28,18
