"rep","dgp","idx_d","d","idx_T","T_sample","tuning","method","data_seed","truth_seed","frob","frob_sq","msfe","rmfe","hamming","precision","recall","F1","specificity","TPR","FPR","TP","FP","FN","TN","support_true","support_hat","off_hamming","off_precision","off_recall","off_F1","off_TP","off_FP","off_FN","off_TN","support_true_offdiag","support_hat_offdiag","rho_true","rho_hat","max_abs","lambda_lasso","lambda_adaptive","scaled_lambda0","base_lasso_support","base_adaptive_support","base_lasso_support_offdiag","base_adaptive_support_offdiag","threshold_factor","runtime_fit_seconds"
1,"dgp1",1,5,1,100,"theory","L",20361327,20270001,0.438103520080124,0.191934694306596,5.13780253271422,2.26667212730783,0.2,0.615384615384615,1,0.761904761904762,0.705882352941177,1,0.294117647058824,8,5,0,12,8,13,0.25,0.375,1,0.545454545454545,3,5,0,12,3,8,0.465874281184537,0.597922839918621,0.535037252164811,0.180316103609442,NA,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","L-Th",20361327,20270001,0.543724554339935,0.295636390992161,5.20903283541474,2.28233057102049,0.04,1,0.875,0.933333333333333,1,0.875,0,7,0,1,17,8,7,0.05,1,0.666666666666667,0.8,2,0,1,17,3,2,0.465874281184537,0.535037252164811,0.535037252164811,0.180316103609442,NA,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","L-Ref",20361327,20270001,0.308881294423409,0.0954076540446804,5.06152410818971,2.24978312470107,0.2,0.615384615384615,1,0.761904761904762,0.705882352941177,1,0.294117647058824,8,5,0,12,8,13,0.25,0.375,1,0.545454545454545,3,5,0,12,3,8,0.465874281184537,0.671462153672897,0.469584485324176,0.180316103609442,NA,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","L-Rlx",20361327,20270001,0.345294967857991,0.119228614828051,5.0708531557674,2.2518554917595,0.2,0.615384615384615,1,0.761904761904762,0.705882352941177,1,0.294117647058824,8,5,0,12,8,13,0.25,0.375,1,0.545454545454545,3,5,0,12,3,8,0.465874281184537,0.639209905571796,0.500133831746275,0.180316103609442,NA,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","L-Des",20361327,20270001,0.39575825438738,0.156624595915746,5.1092650038427,2.26036833366659,0.68,0.32,1,0.484848484848485,0,1,1,8,17,0,0,8,25,0.85,0.15,1,0.260869565217391,3,17,0,0,3,20,0.465874281184537,0.653301240826061,0.475400443164353,0.180316103609442,NA,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","A",20361327,20270001,0.83826130703362,0.702682018869713,5.76173683951906,2.40036181429364,0.12,1,0.625,0.769230769230769,1,0.625,0,5,0,3,17,8,5,0.15,0,0,0,0,0,3,17,3,0,0.465874281184537,0.627044167654697,0.627044167654697,0.180316103609442,0.180316103609442,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","A-Th",20361327,20270001,0.83826130703362,0.702682018869713,5.76173683951906,2.40036181429364,0.12,1,0.625,0.769230769230769,1,0.625,0,5,0,3,17,8,5,0.15,0,0,0,0,0,3,17,3,0,0.465874281184537,0.627044167654697,0.627044167654697,0.180316103609442,0.180316103609442,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","A-Ref",20361327,20270001,0.838261574668785,0.702682467566191,5.76173688987973,2.40036182478387,0.12,1,0.625,0.769230769230769,1,0.625,0,5,0,3,17,8,5,0.15,0,0,0,0,0,3,17,3,0,0.465874281184537,0.627044653495281,0.627044653495281,0.180316103609442,0.180316103609442,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","A-Rlx",20361327,20270001,0.83826144085103,0.702682243217644,5.76173686469882,2.40036181953863,0.12,1,0.625,0.769230769230769,1,0.625,0,5,0,3,17,8,5,0.15,0,0,0,0,0,3,17,3,0,0.465874281184537,0.627044410574989,0.627044410574989,0.180316103609442,0.180316103609442,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","A-Des",20361327,20270001,0.39575825438738,0.156624595915746,5.1092650038427,2.2603683336666,0.68,0.32,1,0.484848484848485,0,1,1,8,17,0,0,8,25,0.85,0.15,1,0.260869565217391,3,17,0,0,3,20,0.465874281184537,0.653301240826061,0.475400443164352,0.180316103609442,0.180316103609442,NA,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"theory","ScL",20361327,20270001,0.542915017110222,0.294756715803793,5.24774972579261,2.29079674475773,0.08,0.8,1,0.888888888888889,0.882352941176471,1,0.117647058823529,8,2,0,15,8,10,0.1,0.6,1,0.75,3,2,0,15,3,5,0.465874281184537,0.566035273136338,0.566035273136338,0.180316103609442,NA,0.180316103609442,13,5,8,0,1,0
1,"dgp1",1,5,1,100,"cv","L",20361327,20270001,0.378730300452527,0.143436640480861,5.08095854018732,2.25409816560578,0.36,0.470588235294118,1,0.64,0.470588235294118,1,0.529411764705882,8,9,0,8,8,17,0.45,0.25,1,0.4,3,9,0,8,3,12,0.465874281184537,0.585974244275749,0.511528948773826,0.116771404601802,NA,NA,17,8,12,3,1,0.18
1,"dgp1",1,5,1,100,"cv","L-Th",20361327,20270001,0.339703089674532,0.115398189134423,5.03874404267784,2.24471469070745,0,1,1,1,1,1,0,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.465874281184537,0.511528948773826,0.511528948773826,0.116771404601802,NA,NA,17,8,12,3,1,0.18
1,"dgp1",1,5,1,100,"cv","L-Ref",20361327,20270001,0.385868001626476,0.14889411467921,5.08547763707563,2.25510036075462,0.36,0.470588235294118,1,0.64,0.470588235294118,1,0.529411764705882,8,9,0,8,8,17,0.45,0.25,1,0.4,3,9,0,8,3,12,0.465874281184537,0.647630850223792,0.469584485324176,0.116771404601802,NA,NA,17,8,12,3,1,0.18
1,"dgp1",1,5,1,100,"cv","L-Rlx",20361327,20270001,0.361911936699119,0.130980249925307,5.06532568768605,2.25062784299983,0.36,0.470588235294118,1,0.64,0.470588235294118,1,0.529411764705882,8,9,0,8,8,17,0.45,0.25,1,0.4,3,9,0,8,3,12,0.465874281184537,0.617540883888793,0.490182930800292,0.116771404601802,NA,NA,17,8,12,3,1,0.18
1,"dgp1",1,5,1,100,"cv","L-Des",20361327,20270001,0.39575825438738,0.156624595915746,5.1092650038427,2.26036833366659,0.68,0.32,1,0.484848484848485,0,1,1,8,17,0,0,8,25,0.85,0.15,1,0.260869565217391,3,17,0,0,3,20,0.465874281184537,0.653301240826061,0.475400443164353,0.116771404601802,NA,NA,17,8,12,3,1,0.18
