"dgp","d","min_abs_diag","n_zero_diag"
"dgp1",5,0.465874281184537,0
"dgp1",10,0.426347938361315,0
"dgp1",15,0.309776343995853,0
"dgp1",20,0.220380745162752,0
"dgp1",25,0.193227360896895,0
"dgp1",30,0.181550160207955,0
"dgp2",5,0.375902746259091,0
"dgp2",10,0.35377934620483,0
"dgp2",15,0.337897625466868,0
"dgp2",20,0.36668269109676,0
"dgp2",25,0.332769572846561,0
"dgp2",30,0.332901797604779,0
"dgp3",5,0.329422863405995,0
"dgp3",10,0.191413086585713,0
"dgp3",15,0.150719812205509,0
"dgp3",20,0.102198553487448,0
"dgp3",25,0.0838257734851763,0
"dgp3",30,0.0669069577399385,0
