"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",100,"L",18,1.83333333333333,18,1.55555555555556,18,5.58333333333333,18,3.58333333333333,18,5.58333333333333,18,2.97222222222222,18
"theory",100,"L-Th",18,4.16666666666667,18,6.77777777777778,18,3.72222222222222,18,5.44444444444444,18,3.72222222222222,18,6.61111111111111,18
"theory",100,"L-Ref",18,6.11111111111111,18,5.61111111111111,18,5.58333333333333,18,3.58333333333333,18,5.58333333333333,18,2.97222222222222,18
"theory",100,"L-Rlx",18,2.55555555555556,18,1.83333333333333,18,5.58333333333333,18,3.58333333333333,18,5.58333333333333,18,2.97222222222222,18
"theory",100,"L-Des",18,9.11111111111111,18,8.86111111111111,18,10.5,18,8.38888888888889,18,10.5,18,5.33333333333333,18
"theory",100,"A",18,7.08333333333333,18,7.19444444444444,18,5.52777777777778,18,7.52777777777778,18,5.52777777777778,18,8.80555555555556,18
"theory",100,"A-Th",18,7.97222222222222,18,8.02777777777778,18,6.08333333333333,18,8.08333333333333,18,6.08333333333333,18,9.75,18
"theory",100,"A-Ref",18,8.27777777777778,18,7.77777777777778,18,5.52777777777778,18,7.52777777777778,18,5.52777777777778,18,8.80555555555556,18
"theory",100,"A-Rlx",18,6.44444444444444,18,5.88888888888889,18,5.52777777777778,18,7.52777777777778,18,5.52777777777778,18,8.80555555555556,18
"theory",100,"A-Des",18,9,18,8.80555555555556,18,10.5,18,8.38888888888889,18,10.5,18,5.33333333333333,18
"theory",100,"ScL",18,3.44444444444444,18,3.66666666666667,18,1.86111111111111,18,2.36111111111111,18,1.86111111111111,18,3.63888888888889,18
"theory",200,"L",18,2.16666666666667,18,2.22222222222222,18,5.36111111111111,18,3.77777777777778,18,5.36111111111111,18,3.55555555555556,18
"theory",200,"L-Th",18,4.77777777777778,18,5.33333333333333,18,2.86111111111111,18,4.47222222222222,18,2.86111111111111,18,4.69444444444444,18
"theory",200,"L-Ref",18,3.83333333333333,18,3.22222222222222,18,5.36111111111111,18,3.77777777777778,18,5.36111111111111,18,3.55555555555556,18
"theory",200,"L-Rlx",18,1.66666666666667,18,1.55555555555556,18,5.36111111111111,18,3.77777777777778,18,5.36111111111111,18,3.55555555555556,18
"theory",200,"L-Des",18,7.55555555555556,18,7.08333333333333,18,10.5,18,8.66666666666667,18,10.5,18,6.66666666666667,18
"theory",200,"A",18,8.72222222222222,18,9.08333333333333,18,5.77777777777778,18,7.38888888888889,18,5.77777777777778,18,8.44444444444444,18
"theory",200,"A-Th",18,9.72222222222222,18,10.1388888888889,18,6.72222222222222,18,8.41666666666667,18,6.72222222222222,18,9.69444444444444,18
"theory",200,"A-Ref",18,8.16666666666667,18,8.11111111111111,18,5.77777777777778,18,7.38888888888889,18,5.77777777777778,18,8.44444444444444,18
"theory",200,"A-Rlx",18,7.44444444444444,18,7.61111111111111,18,5.77777777777778,18,7.38888888888889,18,5.77777777777778,18,8.44444444444444,18
