"tuning","d","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",5,"L",18,4.38888888888889,18,4,18,6.5,18,6.30555555555556,18,6.5,18,6.08333333333333,18
"theory",5,"L-Th",18,4,18,4.38888888888889,18,2.19444444444444,18,2.22222222222222,18,2.19444444444444,18,2.33333333333333,18
"theory",5,"L-Ref",18,3.05555555555556,18,3.33333333333333,18,6.5,18,6.30555555555556,18,6.5,18,6.08333333333333,18
"theory",5,"L-Rlx",18,1.94444444444444,18,2.16666666666667,18,6.5,18,6.30555555555556,18,6.5,18,6.08333333333333,18
"theory",5,"L-Des",18,5.72222222222222,18,5.38888888888889,18,10.5,18,9.94444444444444,18,10.5,18,9.38888888888889,18
"theory",5,"A",18,10.1388888888889,18,10.1666666666667,18,4.5,18,4.94444444444444,18,4.5,18,5.33333333333333,18
"theory",5,"A-Th",18,10.8611111111111,18,10.8333333333333,18,6,18,6.61111111111111,18,6,18,7.11111111111111,18
"theory",5,"A-Ref",18,5.05555555555556,18,5.61111111111111,18,4.5,18,4.94444444444444,18,4.5,18,5.33333333333333,18
"theory",5,"A-Rlx",18,8.61111111111111,18,8.55555555555556,18,4.5,18,4.94444444444444,18,4.5,18,5.33333333333333,18
"theory",5,"A-Des",18,5.72222222222222,18,5.38888888888889,18,10.5,18,9.94444444444444,18,10.5,18,9.38888888888889,18
"theory",5,"ScL",18,6.5,18,6.16666666666667,18,3.80555555555556,18,3.52777777777778,18,3.80555555555556,18,3.52777777777778,18
"theory",10,"L",18,2.88888888888889,18,3.05555555555556,18,5.5,18,5.27777777777778,18,5.5,18,5.11111111111111,18
"theory",10,"L-Th",18,4.16666666666667,18,4.77777777777778,18,2.55555555555556,18,2.88888888888889,18,2.55555555555556,18,3.11111111111111,18
"theory",10,"L-Ref",18,3.38888888888889,18,3.5,18,5.5,18,5.27777777777778,18,5.5,18,5.11111111111111,18
"theory",10,"L-Rlx",18,1.77777777777778,18,1.66666666666667,18,5.5,18,5.27777777777778,18,5.5,18,5.11111111111111,18
"theory",10,"L-Des",18,6.25,18,6.13888888888889,18,10.5,18,9.5,18,10.5,18,8.38888888888889,18
"theory",10,"A",18,9.77777777777778,18,9.77777777777778,18,5.41666666666667,18,5.88888888888889,18,5.41666666666667,18,6.33333333333333,18
"theory",10,"A-Th",18,10.7222222222222,18,10.7777777777778,18,6.97222222222222,18,7.88888888888889,18,6.97222222222222,18,8.88888888888889,18
"theory",10,"A-Ref",18,7.27777777777778,18,6.61111111111111,18,5.41666666666667,18,5.88888888888889,18,5.41666666666667,18,6.33333333333333,18
"theory",10,"A-Rlx",18,8.05555555555556,18,7.88888888888889,18,5.41666666666667,18,5.88888888888889,18,5.41666666666667,18,6.33333333333333,18
"theory",10,"A-Des",18,6.08333333333333,18,6.19444444444444,18,10.5,18,9.5,18,10.5,18,8.38888888888889,18
"theory",10,"ScL",18,5.61111111111111,18,5.61111111111111,18,2.72222222222222,18,2.72222222222222,18,2.72222222222222,18,2.88888888888889,18
"theory",15,"L",18,2.44444444444444,18,2.61111111111111,18,5.66666666666667,18,4.66666666666667,18,5.66666666666667,18,4.33333333333333,18
"theory",15,"L-Th",18,4.22222222222222,18,5,18,2.47222222222222,18,3.30555555555556,18,2.47222222222222,18,3.58333333333333,18
"theory",15,"L-Ref",18,3.38888888888889,18,3.33333333333333,18,5.66666666666667,18,4.66666666666667,18,5.66666666666667,18,4.33333333333333,18
