"tuning","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory","L",108,2.60185185185185,108,2.59259259259259,108,5.92592592592593,108,4.55092592592593,108,5.92592592592593,108,4.40277777777778,108
"theory","L-Th",108,4.22222222222222,108,5.09259259259259,108,2.61111111111111,108,3.58796296296296,108,2.61111111111111,108,3.81944444444444,108
"theory","L-Ref",108,3.7962962962963,108,3.63888888888889,108,5.92592592592593,108,4.55092592592593,108,5.92592592592593,108,4.40277777777778,108
"theory","L-Rlx",108,1.85185185185185,108,1.62962962962963,108,5.92592592592593,108,4.55092592592593,108,5.92592592592593,108,4.40277777777778,108
"theory","L-Des",108,6.97222222222222,108,6.56944444444444,108,10.5,108,9.07407407407407,108,10.5,108,7.49074074074074,108
"theory","A",108,9.13888888888889,108,9.34259259259259,108,5.25462962962963,108,6.64351851851852,108,5.25462962962963,108,7.36574074074074,108
"theory","A-Th",108,10.0277777777778,108,10.1944444444444,108,6.48611111111111,108,8.18518518518519,108,6.48611111111111,108,9.18518518518519,108
"theory","A-Ref",108,7.7037037037037,108,7.46296296296296,108,5.25462962962963,108,6.64351851851852,108,5.25462962962963,108,7.36574074074074,108
"theory","A-Rlx",108,7.89814814814815,108,7.92592592592593,108,5.25462962962963,108,6.64351851851852,108,5.25462962962963,108,7.36574074074074,108
"theory","A-Des",108,6.89814814814815,108,6.54166666666667,108,10.5,108,9.07407407407407,108,10.5,108,7.49074074074074,108
"theory","ScL",108,4.88888888888889,108,5.00925925925926,108,2.36111111111111,108,2.49537037037037,108,2.36111111111111,108,2.70833333333333,108
"cv","L",108,4.17592592592593,108,4.18518518518519,108,7.68981481481481,108,7.2962962962963,108,7.68981481481481,108,7.2037037037037,108
"cv","L-Th",108,5.93518518518519,108,6.76851851851852,108,3.38888888888889,108,4.12037037037037,108,3.38888888888889,108,4.5,108
"cv","L-Ref",108,8.13888888888889,108,7.90740740740741,108,7.68981481481481,108,7.2962962962963,108,7.68981481481481,108,7.2037037037037,108
"cv","L-Rlx",108,5.2962962962963,108,5.13888888888889,108,7.68981481481481,108,7.2962962962963,108,7.68981481481481,108,7.2037037037037,108
"cv","L-Des",108,10.2268518518519,108,9.93981481481481,108,10.5,108,10.1018518518519,108,10.5,108,9.94444444444444,108
"cv","A",108,2.4212962962963,108,2.30555555555556,108,4.06944444444444,108,4.22685185185185,108,4.06944444444444,108,4.17592592592593,108
"cv","A-Th",108,2.43981481481481,108,2.62037037037037,108,3.2037037037037,108,3.53240740740741,108,3.2037037037037,108,3.52777777777778,108
"cv","A-Ref",108,5.2962962962963,108,5.02777777777778,108,4.06944444444444,108,4.22685185185185,108,4.06944444444444,108,4.17592592592593,108
"cv","A-Rlx",108,3.36111111111111,108,3.25925925925926,108,4.06944444444444,108,4.22685185185185,108,4.06944444444444,108,4.17592592592593,108
"cv","A-Des",108,10.1435185185185,108,9.93055555555556,108,10.5,108,10.1018518518519,108,10.5,108,9.94444444444444,108
"cv","ScL",108,8.56481481481481,108,8.91666666666667,108,3.12962962962963,108,3.57407407407407,108,3.12962962962963,108,3.94444444444444,108
