"dgp","d","T_sample","tuning","method","nrep_eff","frob_mean","frob_median","frob_sd","frob_sq_mean","frob_sq_median","frob_sq_sd","msfe_mean","msfe_median","msfe_sd","rmfe_mean","rmfe_median","rmfe_sd","hamming_mean","hamming_median","hamming_sd","precision_mean","precision_median","precision_sd","recall_mean","recall_median","recall_sd","F1_mean","F1_median","F1_sd","specificity_mean","specificity_median","specificity_sd","TPR_mean","TPR_median","TPR_sd","FPR_mean","FPR_median","FPR_sd","TP_mean","TP_median","TP_sd","FP_mean","FP_median","FP_sd","FN_mean","FN_median","FN_sd","TN_mean","TN_median","TN_sd","support_true_mean","support_true_median","support_true_sd","support_hat_mean","support_hat_median","support_hat_sd","off_hamming_mean","off_hamming_median","off_hamming_sd","off_precision_mean","off_precision_median","off_precision_sd","off_recall_mean","off_recall_median","off_recall_sd","off_F1_mean","off_F1_median","off_F1_sd","off_TP_mean","off_TP_median","off_TP_sd","off_FP_mean","off_FP_median","off_FP_sd","off_FN_mean","off_FN_median","off_FN_sd","off_TN_mean","off_TN_median","off_TN_sd","support_true_offdiag_mean","support_true_offdiag_median","support_true_offdiag_sd","support_hat_offdiag_mean","support_hat_offdiag_median","support_hat_offdiag_sd","rho_true_mean","rho_true_median","rho_true_sd","rho_hat_mean","rho_hat_median","rho_hat_sd","max_abs_mean","max_abs_median","max_abs_sd","lambda_lasso_mean","lambda_lasso_median","lambda_lasso_sd","lambda_adaptive_mean","lambda_adaptive_median","lambda_adaptive_sd","scaled_lambda0_mean","scaled_lambda0_median","scaled_lambda0_sd","base_lasso_support_mean","base_lasso_support_median","base_lasso_support_sd","base_adaptive_support_mean","base_adaptive_support_median","base_adaptive_support_sd","base_lasso_support_offdiag_mean","base_lasso_support_offdiag_median","base_lasso_support_offdiag_sd","base_adaptive_support_offdiag_mean","base_adaptive_support_offdiag_median","base_adaptive_support_offdiag_sd","threshold_factor_mean","threshold_factor_median","threshold_factor_sd","runtime_fit_seconds_mean","runtime_fit_seconds_median","runtime_fit_seconds_sd","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
"dgp1",5,100,"cv","L",500,0.357134246920693,0.356482299633028,0.0781133626781588,0.133634364357642,0.12707963827481,0.0572894660309935,5.17749730689079,5.17890765729057,0.342217284282141,2.27417105755505,2.2757213381193,0.0751971881385357,0.20568,0.2,0.127260866948615,0.642911468029734,0.615384615384615,0.14724188373048,1,1,0,0.772933790896962,0.761904761904762,0.109236296521238,0.697529411764706,0.705882352941177,0.187148333747963,1,1,0,0.302470588235294,0.294117647058824,0.187148333747963,8,8,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,8,8,0,13.142,13,3.18152167371537,0.2571,0.25,0.159076083685768,0.429476457469259,0.375,0.176041472863683,1,1,0,0.581504059304988,0.545454545454545,0.159655024316703,3,3,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,3,3,0,8.142,8,3.18152167371537,0.465874281184537,0.465874281184537,0,0.564582120052801,0.561263128975408,0.0577354105339271,0.549456233074505,0.549611471708572,0.0461307531207769,0.173289558605706,0.177092336503137,0.0468118122001309,NA,NA,NA,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,7,7,8,8,8,8
"dgp1",5,100,"cv","L-Th",500,0.362828090821249,0.339021406575552,0.123239094480201,0.146801722148475,0.114935516079236,0.106758683015106,5.18713134449632,5.17603392870783,0.354781862978441,2.27620114539536,2.27508983359421,0.0777932759609196,0.02912,0,0.0573847682163699,0.955356196727249,1,0.101635716539601,0.97375,1,0.0620474598557354,0.959569850863504,1,0.067003079281427,0.969529411764706,1,0.0835565702088806,0.97375,1,0.0620474598557354,0.0304705882352941,0,0.0835565702088806,7.79,8,0.496379678845883,0.518,0,1.42046169355097,0.21,0,0.496379678845883,16.482,17,1.42046169355097,8,8,0,8.308,8,1.57164759163898,0.0364,0,0.0717309602704623,0.909971838945368,1,0.189004083131842,0.93,1,0.165459892948628,0.898938999236058,1,0.15861848869944,2.79,3,0.496379678845883,0.518,0,1.42046169355097,0.21,0,0.496379678845883,16.482,17,1.42046169355097,3,3,0,3.308,3,1.57164759163898,0.465874281184537,0.465874281184537,0,0.548605096500222,0.548011785327746,0.0491220325185574,0.549456233074505,0.549611471708572,0.0461307531207769,0.173289558605706,0.177092336503137,0.0468118122001309,NA,NA,NA,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,5,6,1,1,1,1
"dgp1",5,100,"cv","L-Ref",500,0.397429642461033,0.396897232577954,0.0940280933198876,0.166773920475411,0.157527609557823,0.0764987008465927,5.24482886417381,5.24269946859856,0.372933590691996,2.28871496378144,2.28969418483616,0.0813998193973471,0.20568,0.2,0.127260866948615,0.642911468029734,0.615384615384615,0.14724188373048,1,1,0,0.772933790896962,0.761904761904762,0.109236296521238,0.697529411764706,0.705882352941177,0.187148333747963,1,1,0,0.302470588235294,0.294117647058824,0.187148333747963,8,8,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,8,8,0,13.142,13,3.18152167371537,0.2571,0.25,0.159076083685768,0.429476457469259,0.375,0.176041472863683,1,1,0,0.581504059304988,0.545454545454545,0.159655024316703,3,3,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,3,3,0,8.142,8,3.18152167371537,0.465874281184537,0.465874281184537,0,0.594397068191013,0.587589091283746,0.0775909203758406,0.577909473641082,0.572150232181737,0.056399517164232,0.173289558605706,0.177092336503137,0.0468118122001309,NA,NA,NA,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,9,9,8,8,8,8
"dgp1",5,100,"cv","L-Rlx",500,0.348612491490193,0.346937564445861,0.0829411546160161,0.128396145881779,0.120365716755002,0.059959274099293,5.18298652068488,5.17515990226486,0.35210002248099,2.27530592979226,2.27489777841292,0.0773395717325486,0.20568,0.2,0.127260866948615,0.642911468029734,0.615384615384615,0.14724188373048,1,1,0,0.772933790896962,0.761904761904762,0.109236296521238,0.697529411764706,0.705882352941177,0.187148333747963,1,1,0,0.302470588235294,0.294117647058824,0.187148333747963,8,8,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,8,8,0,13.142,13,3.18152167371537,0.2571,0.25,0.159076083685768,0.429476457469259,0.375,0.176041472863683,1,1,0,0.581504059304988,0.545454545454545,0.159655024316703,3,3,0,5.142,5,3.18152167371537,0,0,0,11.858,12,3.18152167371537,3,3,0,8.142,8,3.18152167371537,0.465874281184537,0.465874281184537,0,0.576724063496209,0.570843545856506,0.0664952094936152,0.552040020699127,0.550656295695432,0.0481050856870346,0.173289558605706,0.177092336503137,0.0468118122001309,NA,NA,NA,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,6,5,8,8,8,8
"dgp1",5,100,"cv","L-Des",500,0.453902186571075,0.448648632585268,0.073955937452576,0.211485736697123,0.201285596302742,0.068678098401162,5.30481545618284,5.29359000307505,0.371877686193493,2.30180744076302,2.30078027229097,0.0806906673565702,0.68,0.68,0,0.32,0.32,0,1,1,0,0.484848484848485,0.484848484848485,0,0,0,0,1,1,0,1,1,0,8,8,0,17,17,0,0,0,0,0,0,0,8,8,0,25,25,0,0.85,0.85,0,0.15,0.15,0,1,1,0,0.260869565217391,0.260869565217391,0,3,3,0,17,17,0,0,0,0,0,0,0,3,3,0,20,20,0,0.465874281184537,0.465874281184537,0,0.627027557528943,0.624664456392724,0.0662047068528406,0.580348546015116,0.571155995180267,0.057377923201339,0.173289558605706,0.177092336503137,0.0468118122001309,NA,NA,NA,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,11,10,10.5,10.5,10.5,10.5
"dgp1",5,100,"cv","A",500,0.316970256370838,0.302920421675809,0.101134624018379,0.110677899174783,0.0917610993309691,0.0717393785198597,5.15141299024886,5.14804268964071,0.345625799017364,2.26839826654247,2.26892984136699,0.0761175561924153,0.0676,0.04,0.0876676178668321,0.859242102651391,0.888888888888889,0.146104471284341,0.997,1,0.0207209728882326,0.915459545826527,0.941176470588235,0.0929534331819813,0.902,0.941176470588235,0.129413425771385,0.997,1,0.0207209728882326,0.098,0.0588235294117647,0.129413425771385,7.976,8,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,8,8,0,9.642,9,2.22074298350746,0.0845,0.05,0.10958452233354,0.741177857668647,0.75,0.236338637319428,0.992,1,0.0552559277019536,0.823892689405538,0.857142857142857,0.171375727728799,2.976,3,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,3,3,0,4.642,4,2.22074298350746,0.465874281184537,0.465874281184537,0,0.554160219861256,0.549580041363716,0.0597730801835121,0.558817774685747,0.556726598299535,0.0489772688722238,0.173289558605706,0.177092336503137,0.0468118122001309,0.0222282522403673,0.0214911941364776,0.0119256207118797,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,3,2.5,4,4,4,4
"dgp1",5,100,"cv","A-Th",500,0.317134288365274,0.302865903984608,0.101668708722683,0.11089001013762,0.0917281376660222,0.0723740574141492,5.1515894522047,5.14804268964071,0.345388532216471,2.26843905792243,2.26892984136699,0.0760609178432016,0.05976,0.04,0.0852953280430525,0.876626690285978,0.888888888888889,0.143346033829528,0.9955,1,0.0246162938690554,0.925013522248245,0.941176470588235,0.090629215449602,0.914235294117647,0.941176470588235,0.126072188439378,0.9955,1,0.0246162938690554,0.0857647058823529,0.0588235294117647,0.126072188439378,7.964,8,0.196930350952443,1.458,1,2.14322720346943,0.036,0,0.196930350952443,15.542,16,2.14322720346943,8,8,0,9.422,9,2.17194629339742,0.0747,0.05,0.106619160053816,0.772170714811504,0.75,0.235020136732394,0.988,1,0.0656434503174811,0.842581900194748,0.857142857142857,0.168788923550213,2.964,3,0.196930350952443,1.458,1,2.14322720346943,0.036,0,0.196930350952443,15.542,16,2.14322720346943,3,3,0,4.422,4,2.17194629339742,0.465874281184537,0.465874281184537,0,0.554036076483206,0.549580041363716,0.0597558544195583,0.558817774685747,0.556726598299535,0.0489772688722238,0.173289558605706,0.177092336503137,0.0468118122001309,0.0222282522403673,0.0214911941364776,0.0119256207118797,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,2,2.5,4,4,4,4
"dgp1",5,100,"cv","A-Ref",500,0.329339738681213,0.315400062487612,0.108470442294464,0.120206968652464,0.0994773637419196,0.0781827656350361,5.17388234993755,5.16055181556314,0.361055667152948,2.27323772232488,2.27168471244218,0.0792791151117766,0.0676,0.04,0.0876676178668321,0.859242102651391,0.888888888888889,0.146104471284341,0.997,1,0.0207209728882326,0.915459545826527,0.941176470588235,0.0929534331819813,0.902,0.941176470588235,0.129413425771385,0.997,1,0.0207209728882326,0.098,0.0588235294117647,0.129413425771385,7.976,8,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,8,8,0,9.642,9,2.22074298350746,0.0845,0.05,0.10958452233354,0.741177857668647,0.75,0.236338637319428,0.992,1,0.0552559277019536,0.823892689405538,0.857142857142857,0.171375727728799,2.976,3,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,3,3,0,4.642,4,2.22074298350746,0.465874281184537,0.465874281184537,0,0.559475451813584,0.548852086622427,0.0728475784504534,0.578526943504449,0.572767230641489,0.055163359906827,0.173289558605706,0.177092336503137,0.0468118122001309,0.0222282522403673,0.0214911941364776,0.0119256207118797,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,4,4,4,4,4,4
"dgp1",5,100,"cv","A-Rlx",500,0.312566250701387,0.301961702429536,0.100696177572287,0.107817101814837,0.0911808725352071,0.0699691836854211,5.15278326885555,5.14677175574149,0.350460815923016,2.26866561329378,2.26864975719374,0.0771460104462567,0.0676,0.04,0.0876676178668321,0.859242102651391,0.888888888888889,0.146104471284341,0.997,1,0.0207209728882326,0.915459545826527,0.941176470588235,0.0929534331819813,0.902,0.941176470588235,0.129413425771385,0.997,1,0.0207209728882326,0.098,0.0588235294117647,0.129413425771385,7.976,8,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,8,8,0,9.642,9,2.22074298350746,0.0845,0.05,0.10958452233354,0.741177857668647,0.75,0.236338637319428,0.992,1,0.0552559277019536,0.823892689405538,0.857142857142857,0.171375727728799,2.976,3,0.165767783105861,1.666,1,2.20002823811355,0.024,0,0.165767783105861,15.334,16,2.20002823811355,3,3,0,4.642,4,2.22074298350746,0.465874281184537,0.465874281184537,0,0.556527840352139,0.54839536792229,0.0653935620576492,0.56521356597721,0.562572463081077,0.0510990587183409,0.173289558605706,0.177092336503137,0.0468118122001309,0.0222282522403673,0.0214911941364776,0.0119256207118797,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,1,1,4,4,4,4
"dgp1",5,100,"cv","A-Des",500,0.453902186571075,0.448648632585268,0.073955937452576,0.211485736697123,0.201285596302742,0.068678098401162,5.30481545618284,5.29359000307505,0.371877686193493,2.30180744076302,2.30078027229097,0.0806906673565702,0.68,0.68,0,0.32,0.32,0,1,1,0,0.484848484848485,0.484848484848485,0,0,0,0,1,1,0,1,1,0,8,8,0,17,17,0,0,0,0,0,0,0,8,8,0,25,25,0,0.85,0.85,0,0.15,0.15,0,1,1,0,0.260869565217391,0.260869565217391,0,3,3,0,17,17,0,0,0,0,0,0,0,3,3,0,20,20,0,0.465874281184537,0.465874281184537,0,0.627027557528943,0.624664456392725,0.0662047068528406,0.580348546015116,0.571155995180267,0.057377923201339,0.173289558605706,0.177092336503137,0.0468118122001309,0.0222282522403673,0.0214911941364776,0.0119256207118797,NA,NA,NA,13.142,13,3.18152167371537,9.642,9,2.22074298350746,8.142,8,3.18152167371537,4.642,4,2.22074298350746,1,1,0,0.27284,0.270000000000001,0.0207556255502928,10,11,10.5,10.5,10.5,10.5
