"dgp","d","T_sample","tuning","method","nrep_eff","frob_mean","frob_median","frob_sd","frob_sq_mean","frob_sq_median","frob_sq_sd","msfe_mean","msfe_median","msfe_sd","rmfe_mean","rmfe_median","rmfe_sd","hamming_mean","hamming_median","hamming_sd","precision_mean","precision_median","precision_sd","recall_mean","recall_median","recall_sd","F1_mean","F1_median","F1_sd","specificity_mean","specificity_median","specificity_sd","TPR_mean","TPR_median","TPR_sd","FPR_mean","FPR_median","FPR_sd","TP_mean","TP_median","TP_sd","FP_mean","FP_median","FP_sd","FN_mean","FN_median","FN_sd","TN_mean","TN_median","TN_sd","support_true_mean","support_true_median","support_true_sd","support_hat_mean","support_hat_median","support_hat_sd","off_hamming_mean","off_hamming_median","off_hamming_sd","off_precision_mean","off_precision_median","off_precision_sd","off_recall_mean","off_recall_median","off_recall_sd","off_F1_mean","off_F1_median","off_F1_sd","off_TP_mean","off_TP_median","off_TP_sd","off_FP_mean","off_FP_median","off_FP_sd","off_FN_mean","off_FN_median","off_FN_sd","off_TN_mean","off_TN_median","off_TN_sd","support_true_offdiag_mean","support_true_offdiag_median","support_true_offdiag_sd","support_hat_offdiag_mean","support_hat_offdiag_median","support_hat_offdiag_sd","rho_true_mean","rho_true_median","rho_true_sd","rho_hat_mean","rho_hat_median","rho_hat_sd","max_abs_mean","max_abs_median","max_abs_sd","lambda_lasso_mean","lambda_lasso_median","lambda_lasso_sd","lambda_adaptive_mean","lambda_adaptive_median","lambda_adaptive_sd","scaled_lambda0_mean","scaled_lambda0_median","scaled_lambda0_sd","base_lasso_support_mean","base_lasso_support_median","base_lasso_support_sd","base_adaptive_support_mean","base_adaptive_support_median","base_adaptive_support_sd","base_lasso_support_offdiag_mean","base_lasso_support_offdiag_median","base_lasso_support_offdiag_sd","base_adaptive_support_offdiag_mean","base_adaptive_support_offdiag_median","base_adaptive_support_offdiag_sd","threshold_factor_mean","threshold_factor_median","threshold_factor_sd","runtime_fit_seconds_mean","runtime_fit_seconds_median","runtime_fit_seconds_sd","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
"dgp1",5,100,"theory","L",500,0.345552575191307,0.349362820025638,0.0757932542839993,0.125139710381513,0.122054446784276,0.0535137304114842,5.16528676835221,5.15957582584767,0.341454663961408,2.27148578219599,2.27146997017285,0.0751692121454845,0.19064,0.2,0.0725956655822002,0.63993620985138,0.615384615384615,0.095431357416726,1,1,0,0.776454109180829,0.761904761904762,0.0688661929208103,0.719647058823529,0.705882352941177,0.10675833173853,1,1,0,0.280352941176471,0.294117647058824,0.10675833173853,8,8,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,8,8,0,12.766,13,1.814891639555,0.2383,0.25,0.0907445819777502,0.411021645021645,0.375,0.113476534276293,1,1,0,0.57430728095434,0.545454545454545,0.104050620740301,3,3,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,3,3,0,7.766,8,1.814891639555,0.465874281184537,0.465874281184537,0,0.559487545745947,0.556320415423748,0.0529753768896571,0.548338367955732,0.547734557593181,0.0461529396232327,0.180316103609442,0.180316103609442,0,NA,NA,NA,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,3,2,8,8,8,4
"dgp1",5,100,"theory","L-Th",500,0.336657018900813,0.326108552411431,0.101900752662604,0.123700944241601,0.106346788081365,0.0789239865375992,5.15864481622122,5.15621371833886,0.342269669728419,2.27001573292986,2.27072977441589,0.0753973340915026,0.0064,0,0.0155281114269887,0.9955,1,0.0220832466818733,0.985,1,0.0421729429163825,0.989610924369748,1,0.0253387319598522,0.997647058823529,1,0.0115385548842119,0.985,1,0.0421729429163825,0.00235294117647059,0,0.0115385548842119,7.88,8,0.33738354333106,0.04,0,0.196155433031603,0.12,0,0.33738354333106,16.96,17,0.196155433031603,8,8,0,7.92,8,0.392310866063206,0.008,0,0.0194101392837359,0.989666666666667,1,0.0509200586351733,0.96,1,0.112461181110353,0.96992380952381,1,0.0748717078321497,2.88,3,0.33738354333106,0.04,0,0.196155433031603,0.12,0,0.33738354333106,16.96,17,0.196155433031603,3,3,0,2.92,3,0.392310866063206,0.465874281184537,0.465874281184537,0,0.545832760038706,0.545619570357801,0.0490297170424577,0.548338367955732,0.547734557593181,0.0461529396232327,0.180316103609442,0.180316103609442,0,NA,NA,NA,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,1,1,1,1,1,1
"dgp1",5,100,"theory","L-Ref",500,0.398451669174777,0.399656475340222,0.0834268601684766,0.165709853583741,0.159725311241455,0.0674916951729078,5.24280867688797,5.24369618200241,0.365557879509121,2.28832971942823,2.28991182807285,0.079802939091766,0.19064,0.2,0.0725956655822002,0.63993620985138,0.615384615384615,0.095431357416726,1,1,0,0.776454109180829,0.761904761904762,0.0688661929208103,0.719647058823529,0.705882352941177,0.10675833173853,1,1,0,0.280352941176471,0.294117647058824,0.10675833173853,8,8,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,8,8,0,12.766,13,1.814891639555,0.2383,0.25,0.0907445819777502,0.411021645021645,0.375,0.113476534276293,1,1,0,0.57430728095434,0.545454545454545,0.104050620740301,3,3,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,3,3,0,7.766,8,1.814891639555,0.465874281184537,0.465874281184537,0,0.595316356739975,0.587907345808834,0.0769446398757029,0.577760599324696,0.571771414642015,0.0565781395289782,0.180316103609442,0.180316103609442,0,NA,NA,NA,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,5,5,8,8,8,4
"dgp1",5,100,"theory","L-Rlx",500,0.340383418247352,0.339457330925072,0.0732843976904448,0.121220733156713,0.115231385060684,0.0507856000977339,5.17238859384632,5.17455624593862,0.346586264277457,2.27301320954348,2.27476509291461,0.0762310003737943,0.19064,0.2,0.0725956655822002,0.63993620985138,0.615384615384615,0.095431357416726,1,1,0,0.776454109180829,0.761904761904762,0.0688661929208103,0.719647058823529,0.705882352941177,0.10675833173853,1,1,0,0.280352941176471,0.294117647058824,0.10675833173853,8,8,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,8,8,0,12.766,13,1.814891639555,0.2383,0.25,0.0907445819777502,0.411021645021645,0.375,0.113476534276293,1,1,0,0.57430728095434,0.545454545454545,0.104050620740301,3,3,0,4.766,5,1.814891639555,0,0,0,12.234,12,1.814891639555,3,3,0,7.766,8,1.814891639555,0.465874281184537,0.465874281184537,0,0.57414669816293,0.569485247991505,0.064259827397729,0.550886438899147,0.549973498175874,0.0469872565136308,0.180316103609442,0.180316103609442,0,NA,NA,NA,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,2,3,8,8,8,4
"dgp1",5,100,"theory","L-Des",500,0.453902186571075,0.448648632585268,0.073955937452576,0.211485736697123,0.201285596302742,0.068678098401162,5.30481545618284,5.29359000307505,0.371877686193493,2.30180744076302,2.30078027229097,0.0806906673565702,0.68,0.68,0,0.32,0.32,0,1,1,0,0.484848484848485,0.484848484848485,0,0,0,0,1,1,0,1,1,0,8,8,0,17,17,0,0,0,0,0,0,0,8,8,0,25,25,0,0.85,0.85,0,0.15,0.15,0,1,1,0,0.260869565217391,0.260869565217391,0,3,3,0,17,17,0,0,0,0,0,0,0,3,3,0,20,20,0,0.465874281184537,0.465874281184537,0,0.627027557528943,0.624664456392724,0.0662047068528406,0.580348546015116,0.571155995180267,0.057377923201339,0.180316103609442,0.180316103609442,0,NA,NA,NA,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,7,6.5,10.5,10.5,10.5,9.5
"dgp1",5,100,"theory","A",500,0.742069257137651,0.742644883101954,0.0769307338822714,0.556573283528858,0.551521556626474,0.111251938155282,5.65293251390954,5.6404025757191,0.407330720691383,2.37605141900883,2.37495316962113,0.0855968561294483,0.0636,0.08,0.031778290064742,0.999492063492064,1,0.00808581758087029,0.80175,0.75,0.0993626356672037,0.886329239388063,0.857142857142857,0.0619874464503832,0.999764705882353,1,0.00371659700729807,0.80175,0.75,0.0993626356672037,0.000235294117647059,0,0.00371659700729807,6.414,6,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,8,8,0,6.418,6,0.800348120650294,0.0795,0.1,0.0397228625809274,0.8725,1,0.33255064254895,0.471333333333333,0.333333333333333,0.264967028445877,0.591714285714286,0.5,0.276362704657821,1.414,1,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,3,3,0,1.418,1,0.800348120650294,0.465874281184537,0.465874281184537,0,0.599027193569466,0.601359571108521,0.0623141320585827,0.599057307835259,0.601446600161232,0.0623166093989297,0.180316103609442,0.180316103609442,0,0.180316103609442,0.180316103609442,0,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,10,10,4,4,4,7
"dgp1",5,100,"theory","A-Th",500,0.784747628837741,0.819439763218687,0.0718736502502049,0.620984330923545,0.671481525546298,0.107834998360514,5.73085589759599,5.73646548172242,0.414412981889029,2.39235749032774,2.39509195180376,0.0865824989648738,0.1008,0.12,0.0232646187368274,1,1,0,0.685,0.625,0.0727019335525856,0.810917216117216,0.769230769230769,0.0497290533587088,1,1,0,0.685,0.625,0.0727019335525856,0,0,0,5.48,5,0.581615468420685,0,0,0,2.52,3,0.581615468420685,17,17,0,8,8,0,5.48,5,0.581615468420685,0.126,0.15,0.0290807734210342,0.438,0,0.496637995523092,0.16,0,0.193871822806895,0.2314,0,0.26910755796802,0.48,0,0.581615468420685,0,0,0,2.52,3,0.581615468420685,17,17,0,3,3,0,0.48,0,0.581615468420685,0.465874281184537,0.465874281184537,0,0.599057307835259,0.601446600161232,0.0623166093989297,0.599057307835259,0.601446600161232,0.0623166093989297,0.180316103609442,0.180316103609442,0,0.180316103609442,0.180316103609442,0,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,11,11,6,6,6,11
"dgp1",5,100,"theory","A-Ref",500,0.618003713940884,0.671756970681206,0.153990164728993,0.405594135336322,0.45125746400645,0.177407121633949,5.48424301100251,5.46907167289154,0.431437299647667,2.34004380005316,2.33860464168953,0.0919507188915969,0.0636,0.08,0.031778290064742,0.999492063492064,1,0.00808581758087029,0.80175,0.75,0.0993626356672037,0.886329239388063,0.857142857142857,0.0619874464503832,0.999764705882353,1,0.00371659700729807,0.80175,0.75,0.0993626356672037,0.000235294117647059,0,0.00371659700729807,6.414,6,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,8,8,0,6.418,6,0.800348120650294,0.0795,0.1,0.0397228625809274,0.8725,1,0.33255064254895,0.471333333333333,0.333333333333333,0.264967028445877,0.591714285714286,0.5,0.276362704657821,1.414,1,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,3,3,0,1.418,1,0.800348120650294,0.465874281184537,0.465874281184537,0,0.576871966177473,0.569284478579421,0.0689935464332673,0.607329845218714,0.604358071877398,0.0613650119470572,0.180316103609442,0.180316103609442,0,0.180316103609442,0.180316103609442,0,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,8,8,4,4,4,7
"dgp1",5,100,"theory","A-Rlx",500,0.636398415697702,0.675980475749949,0.136955369350213,0.42372220315001,0.456949802841038,0.166494707728224,5.50072043242557,5.48207133468664,0.42034629981026,2.34365940165137,2.34138235259822,0.0894261457730486,0.0636,0.08,0.031778290064742,0.999492063492064,1,0.00808581758087029,0.80175,0.75,0.0993626356672037,0.886329239388063,0.857142857142857,0.0619874464503832,0.999764705882353,1,0.00371659700729807,0.80175,0.75,0.0993626356672037,0.000235294117647059,0,0.00371659700729807,6.414,6,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,8,8,0,6.418,6,0.800348120650294,0.0795,0.1,0.0397228625809274,0.8725,1,0.33255064254895,0.471333333333333,0.333333333333333,0.264967028445877,0.591714285714286,0.5,0.276362704657821,1.414,1,0.79490108533763,0.004,0,0.0631821491240672,1.586,2,0.79490108533763,16.996,17,0.0631821491240672,3,3,0,1.418,1,0.800348120650294,0.465874281184537,0.465874281184537,0,0.584951911332777,0.577775584587937,0.0649825001535871,0.586098746025909,0.578421933596289,0.0635602331189624,0.180316103609442,0.180316103609442,0,0.180316103609442,0.180316103609442,0,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,9,9,4,4,4,7
"dgp1",5,100,"theory","A-Des",500,0.453902186571075,0.448648632585268,0.073955937452576,0.211485736697123,0.201285596302742,0.068678098401162,5.30481545618284,5.29359000307505,0.371877686193493,2.30180744076302,2.30078027229097,0.0806906673565702,0.68,0.68,0,0.32,0.32,0,1,1,0,0.484848484848485,0.484848484848485,0,0,0,0,1,1,0,1,1,0,8,8,0,17,17,0,0,0,0,0,0,0,8,8,0,25,25,0,0.85,0.85,0,0.15,0.15,0,1,1,0,0.260869565217391,0.260869565217391,0,3,3,0,17,17,0,0,0,0,0,0,0,3,3,0,20,20,0,0.465874281184537,0.465874281184537,0,0.627027557528943,0.624664456392724,0.0662047068528406,0.580348546015116,0.571155995180267,0.057377923201339,0.180316103609442,0.180316103609442,0,0.180316103609442,0.180316103609442,0,NA,NA,NA,12.766,13,1.814891639555,6.418,6,0.800348120650294,7.766,8,1.814891639555,1.418,1,0.800348120650294,1,1,0,0.00991999999999999,0,0.0122430954735127,6,6.5,10.5,10.5,10.5,9.5
