"method","VAR_Th_rank_off_hamming","VAR_Th_rank_off_F1","VAR_CV_rank_off_hamming","VAR_CV_rank_off_F1"
"L",5.92592592592593,4.40277777777778,7.68981481481481,7.2037037037037
"L-Th",2.61111111111111,3.81944444444444,3.38888888888889,4.5
"L-Ref",5.92592592592593,4.40277777777778,7.68981481481481,7.2037037037037
"L-Rlx",5.92592592592593,4.40277777777778,7.68981481481481,7.2037037037037
"L-Des",10.5,7.49074074074074,10.5,9.94444444444444
"A",5.25462962962963,7.36574074074074,4.06944444444444,4.17592592592593
"A-Th",6.48611111111111,9.18518518518519,3.2037037037037,3.52777777777778
"A-Ref",5.25462962962963,7.36574074074074,4.06944444444444,4.17592592592593
"A-Rlx",5.25462962962963,7.36574074074074,4.06944444444444,4.17592592592593
"A-Des",10.5,7.49074074074074,10.5,9.94444444444444
"ScL",2.36111111111111,2.70833333333333,3.12962962962963,3.94444444444444
