"method","VAR_Th_rank_frob","VAR_Th_rank_rmfe","VAR_Th_rank_hamming","VAR_Th_rank_F1","VAR_CV_rank_frob","VAR_CV_rank_rmfe","VAR_CV_rank_hamming","VAR_CV_rank_F1"
"L",2.60185185185185,2.59259259259259,5.92592592592593,4.55092592592593,4.17592592592593,4.18518518518519,7.68981481481481,7.2962962962963
"L-Th",4.22222222222222,5.09259259259259,2.61111111111111,3.58796296296296,5.93518518518519,6.76851851851852,3.38888888888889,4.12037037037037
"L-Ref",3.7962962962963,3.63888888888889,5.92592592592593,4.55092592592593,8.13888888888889,7.90740740740741,7.68981481481481,7.2962962962963
"L-Rlx",1.85185185185185,1.62962962962963,5.92592592592593,4.55092592592593,5.2962962962963,5.13888888888889,7.68981481481481,7.2962962962963
"L-Des",6.97222222222222,6.56944444444444,10.5,9.07407407407407,10.2268518518519,9.93981481481481,10.5,10.1018518518519
"A",9.13888888888889,9.34259259259259,5.25462962962963,6.64351851851852,2.4212962962963,2.30555555555556,4.06944444444444,4.22685185185185
"A-Th",10.0277777777778,10.1944444444444,6.48611111111111,8.18518518518519,2.43981481481481,2.62037037037037,3.2037037037037,3.53240740740741
"A-Ref",7.7037037037037,7.46296296296296,5.25462962962963,6.64351851851852,5.2962962962963,5.02777777777778,4.06944444444444,4.22685185185185
"A-Rlx",7.89814814814815,7.92592592592593,5.25462962962963,6.64351851851852,3.36111111111111,3.25925925925926,4.06944444444444,4.22685185185185
"A-Des",6.89814814814815,6.54166666666667,10.5,9.07407407407407,10.1435185185185,9.93055555555556,10.5,10.1018518518519
"ScL",4.88888888888889,5.00925925925926,2.36111111111111,2.49537037037037,8.56481481481481,8.91666666666667,3.12962962962963,3.57407407407407
