"rep","dgp","idx_d","d","idx_T","T_sample","snr","tuning","method","data_seed","truth_seed","signal_scale","frob","rmfe","hamming","F1","precision","recall","TP","FP","FN","TN","support_true","support_hat","off_hamming","off_F1","off_precision","off_recall","off_TP","off_FP","off_FN","off_TN","off_support_true","off_support_hat","lambda_lasso","lambda_adaptive","scaled_lambda0","base_lasso_support","base_adaptive_support","runtime_fit_seconds"
1,"dgp1",1,5,1,100,1,"theory","L",20361327,20270001,1.28310714768103,0.258408638118394,2.22652414219336,0.16,0.8,0.666666666666667,1,8,4,0,13,8,12,0.2,0.6,0.428571428571429,1,3,4,0,13,3,7,0.17941225779941,NA,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","L-Th",20361327,20270001,1.28310714768103,0.240704875729797,2.22768237013501,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,NA,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","L-Ref",20361327,20270001,1.28310714768103,0.322895986313298,2.22587131932831,0.16,0.8,0.666666666666667,1,8,4,0,13,8,12,0.2,0.6,0.428571428571429,1,3,4,0,13,3,7,0.17941225779941,NA,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","L-Rlx",20361327,20270001,1.28310714768103,0.241339587111629,2.21805736863523,0.16,0.8,0.666666666666667,1,8,4,0,13,8,12,0.2,0.6,0.428571428571429,1,3,4,0,13,3,7,0.17941225779941,NA,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","L-Des",20361327,20270001,1.28310714768103,0.35167067305572,2.23888133142834,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.17941225779941,NA,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","A",20361327,20270001,1.28310714768103,0.71926061923477,2.34972631837561,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","A-Th",20361327,20270001,1.28310714768103,0.909518613773358,2.42421509850924,0.08,0.857142857142857,1,0.75,6,0,2,17,8,6,0.1,0.5,1,0.333333333333333,1,0,2,17,3,1,0.17941225779941,0.17941225779941,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","A-Ref",20361327,20270001,1.28310714768103,0.203808526153548,2.21953308474753,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","A-Rlx",20361327,20270001,1.28310714768103,0.341356319564138,2.24470712038717,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","A-Des",20361327,20270001,1.28310714768103,0.351670673032707,2.23888133142584,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.17941225779941,0.17941225779941,NA,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"theory","ScL",20361327,20270001,1.28310714768103,0.25311702772236,2.2283156403574,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.17941225779941,NA,0.17941225779941,12,8,0.159999999999854
1,"dgp1",1,5,1,100,1,"cv","L",20361327,20270001,1.28310714768103,0.250244214112601,2.22455670576779,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.167939582842438,NA,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","L-Th",20361327,20270001,1.28310714768103,0.228313147741537,2.22590807730196,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.167939582842438,NA,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","L-Ref",20361327,20270001,1.28310714768103,0.322035574954709,2.22919098798794,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.167939582842438,NA,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","L-Rlx",20361327,20270001,1.28310714768103,0.242862424855966,2.21935780840335,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.167939582842438,NA,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","L-Des",20361327,20270001,1.28310714768103,0.351670673056807,2.23888133142847,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.167939582842438,NA,NA,13,9,0.25
