"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",1,5,20270001,1,1,0.465874281184537
"dgp1",1,5,20270001,2,1,0
"dgp1",1,5,20270001,3,1,0
"dgp1",1,5,20270001,4,1,0
"dgp1",1,5,20270001,5,1,0
"dgp1",1,5,20270001,1,2,0.465874281184537
"dgp1",1,5,20270001,2,2,0.465874281184537
"dgp1",1,5,20270001,3,2,0
"dgp1",1,5,20270001,4,2,0
"dgp1",1,5,20270001,5,2,0
"dgp1",1,5,20270001,1,3,0
"dgp1",1,5,20270001,2,3,0
"dgp1",1,5,20270001,3,3,0.465874281184537
"dgp1",1,5,20270001,4,3,0
"dgp1",1,5,20270001,5,3,0
"dgp1",1,5,20270001,1,4,0
"dgp1",1,5,20270001,2,4,0
"dgp1",1,5,20270001,3,4,0.465874281184537
"dgp1",1,5,20270001,4,4,0.465874281184537
"dgp1",1,5,20270001,5,4,0
"dgp1",1,5,20270001,1,5,0
"dgp1",1,5,20270001,2,5,0
"dgp1",1,5,20270001,3,5,0.465874281184537
"dgp1",1,5,20270001,4,5,0
"dgp1",1,5,20270001,5,5,0.465874281184537
"dgp1",2,10,20270002,1,1,0.426347938361315
"dgp1",2,10,20270002,2,1,0
"dgp1",2,10,20270002,3,1,0
"dgp1",2,10,20270002,4,1,0.426347938361315
"dgp1",2,10,20270002,5,1,0
"dgp1",2,10,20270002,6,1,0
"dgp1",2,10,20270002,7,1,0
"dgp1",2,10,20270002,8,1,0
"dgp1",2,10,20270002,9,1,0
"dgp1",2,10,20270002,10,1,0
"dgp1",2,10,20270002,1,2,0
"dgp1",2,10,20270002,2,2,0.426347938361315
"dgp1",2,10,20270002,3,2,0
"dgp1",2,10,20270002,4,2,0
"dgp1",2,10,20270002,5,2,0
"dgp1",2,10,20270002,6,2,0.426347938361315
"dgp1",2,10,20270002,7,2,0
"dgp1",2,10,20270002,8,2,0
"dgp1",2,10,20270002,9,2,0
"dgp1",2,10,20270002,10,2,0
"dgp1",2,10,20270002,1,3,0
"dgp1",2,10,20270002,2,3,0
"dgp1",2,10,20270002,3,3,0.426347938361315
"dgp1",2,10,20270002,4,3,0
"dgp1",2,10,20270002,5,3,0
"dgp1",2,10,20270002,6,3,0
"dgp1",2,10,20270002,7,3,0.426347938361315
"dgp1",2,10,20270002,8,3,0
"dgp1",2,10,20270002,9,3,0
"dgp1",2,10,20270002,10,3,0
"dgp1",2,10,20270002,1,4,0
"dgp1",2,10,20270002,2,4,0
"dgp1",2,10,20270002,3,4,0.426347938361315
"dgp1",2,10,20270002,4,4,0.426347938361315
"dgp1",2,10,20270002,5,4,0
"dgp1",2,10,20270002,6,4,0
"dgp1",2,10,20270002,7,4,0
"dgp1",2,10,20270002,8,4,0
"dgp1",2,10,20270002,9,4,0
"dgp1",2,10,20270002,10,4,0
"dgp1",2,10,20270002,1,5,0
"dgp1",2,10,20270002,2,5,0
"dgp1",2,10,20270002,3,5,0
"dgp1",2,10,20270002,4,5,0
"dgp1",2,10,20270002,5,5,0.426347938361315
"dgp1",2,10,20270002,6,5,0
"dgp1",2,10,20270002,7,5,0
"dgp1",2,10,20270002,8,5,0
"dgp1",2,10,20270002,9,5,0
"dgp1",2,10,20270002,10,5,0
"dgp1",2,10,20270002,1,6,0
"dgp1",2,10,20270002,2,6,0
"dgp1",2,10,20270002,3,6,0
"dgp1",2,10,20270002,4,6,0
"dgp1",2,10,20270002,5,6,0
"dgp1",2,10,20270002,6,6,0.426347938361315
"dgp1",2,10,20270002,7,6,0
"dgp1",2,10,20270002,8,6,0
"dgp1",2,10,20270002,9,6,0
"dgp1",2,10,20270002,10,6,0
"dgp1",2,10,20270002,1,7,0
"dgp1",2,10,20270002,2,7,0
"dgp1",2,10,20270002,3,7,0
"dgp1",2,10,20270002,4,7,0
"dgp1",2,10,20270002,5,7,0
"dgp1",2,10,20270002,6,7,0
"dgp1",2,10,20270002,7,7,0.426347938361315
"dgp1",2,10,20270002,8,7,0
"dgp1",2,10,20270002,9,7,0.426347938361315
"dgp1",2,10,20270002,10,7,0
"dgp1",2,10,20270002,1,8,0
"dgp1",2,10,20270002,2,8,0
"dgp1",2,10,20270002,3,8,0
"dgp1",2,10,20270002,4,8,0
"dgp1",2,10,20270002,5,8,0
