"snr","tuning","dgp","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory","dgp1","L",36,4.22222222222222,3.86111111111111,7.44444444444444,7.05555555555556,7.44444444444444,6.77777777777778
1,"theory","dgp1","L-Th",36,3.33333333333333,3.5,2,2.16666666666667,2,2.16666666666667
1,"theory","dgp1","L-Ref",36,3.47222222222222,3.55555555555556,7.44444444444444,7.05555555555556,7.44444444444444,6.77777777777778
1,"theory","dgp1","L-Rlx",36,1.47222222222222,1.75,7.44444444444444,7.05555555555556,7.44444444444444,6.77777777777778
1,"theory","dgp1","L-Des",36,7.63888888888889,7.55555555555556,10.5,10.5,10.5,10.2222222222222
1,"theory","dgp1","A",36,10.1527777777778,10.1111111111111,3.625,3.88888888888889,3.625,4.11111111111111
1,"theory","dgp1","A-Th",36,10.8472222222222,10.7777777777778,5.22222222222222,5.5,5.22222222222222,6.25
1,"theory","dgp1","A-Ref",36,4.41666666666667,4.83333333333333,3.625,3.88888888888889,3.625,4.11111111111111
1,"theory","dgp1","A-Rlx",36,8.52777777777778,8.13888888888889,3.625,3.88888888888889,3.625,4.11111111111111
1,"theory","dgp1","A-Des",36,6.97222222222222,7.16666666666667,10.5,10.5,10.5,10.2222222222222
1,"theory","dgp1","ScL",36,4.94444444444444,4.75,4.56944444444444,4.5,4.56944444444444,4.47222222222222
1,"theory","dgp2","L",36,3.63888888888889,3.19444444444444,5.44444444444444,4.05555555555556,5.44444444444444,4
1,"theory","dgp2","L-Th",36,5.27777777777778,5.83333333333333,1.83333333333333,2.86111111111111,1.83333333333333,3.22222222222222
1,"theory","dgp2","L-Ref",36,2.16666666666667,2.63888888888889,5.44444444444444,4.05555555555556,5.44444444444444,4
1,"theory","dgp2","L-Rlx",36,1.08333333333333,1.38888888888889,5.44444444444444,4.05555555555556,5.44444444444444,4
1,"theory","dgp2","L-Des",36,6.63888888888889,6.47222222222222,10.5,10.1944444444444,10.5,7.69444444444444
1,"theory","dgp2","A",36,9.59722222222222,9.52777777777778,5.58333333333333,6.61111111111111,5.58333333333333,7.77777777777778
1,"theory","dgp2","A-Th",36,10.5972222222222,10.4166666666667,7.41666666666667,8.52777777777778,7.41666666666667,9.83333333333333
1,"theory","dgp2","A-Ref",36,8.25,8.25,5.58333333333333,6.61111111111111,5.58333333333333,7.77777777777778
1,"theory","dgp2","A-Rlx",36,8.44444444444444,8.36111111111111,5.58333333333333,6.61111111111111,5.58333333333333,7.77777777777778
