"snr","tuning","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory","L",108,3.9537037037037,3.9537037037037,5.83796296296296,5.21296296296296,5.83796296296296,5.08333333333333
1,"theory","L-Th",108,4.66666666666667,5.12037037037037,2.16203703703704,2.74537037037037,2.16203703703704,2.90277777777778
1,"theory","L-Ref",108,2.44444444444444,2.56481481481481,5.83796296296296,5.21296296296296,5.83796296296296,5.08333333333333
1,"theory","L-Rlx",108,1.39814814814815,1.62962962962963,5.83796296296296,5.21296296296296,5.83796296296296,5.08333333333333
1,"theory","L-Des",108,6.60185185185185,6.21296296296296,10.5,9.58333333333333,10.5,8.60185185185185
1,"theory","A",108,9.74537037037037,9.89814814814815,5.02777777777778,5.8287037037037,5.02777777777778,6.32407407407407
1,"theory","A-Th",108,10.6527777777778,10.712962962963,6.88425925925926,7.7962962962963,6.88425925925926,8.51388888888889
1,"theory","A-Ref",108,6.99074074074074,6.82407407407407,5.02777777777778,5.8287037037037,5.02777777777778,6.32407407407407
1,"theory","A-Rlx",108,8.49074074074074,8.43518518518519,5.02777777777778,5.8287037037037,5.02777777777778,6.32407407407407
1,"theory","A-Des",108,5.99074074074074,5.69444444444444,10.5,9.58333333333333,10.5,8.60185185185185
1,"theory","ScL",108,5.06481481481481,4.9537037037037,3.35648148148148,3.16666666666667,3.35648148148148,3.15740740740741
1,"cv","L",108,5.35185185185185,5.12037037037037,8,7.88425925925926,8,7.87962962962963
1,"cv","L-Th",108,5.22222222222222,5.87037037037037,2.10648148148148,2.375,2.10648148148148,2.46296296296296
1,"cv","L-Ref",108,8.32407407407407,8.2962962962963,8,7.88425925925926,8,7.87962962962963
1,"cv","L-Rlx",108,5.89814814814815,5.81481481481481,8,7.88425925925926,8,7.87962962962963
1,"cv","L-Des",108,10.5462962962963,10.3518518518519,10.5,10.5,10.5,10.4907407407407
1,"cv","A",108,2.69907407407407,2.56481481481481,3.76388888888889,3.78703703703704,3.76388888888889,3.75462962962963
1,"cv","A-Th",108,2.31944444444444,2.75,2.53240740740741,2.5,2.53240740740741,2.53240740740741
1,"cv","A-Ref",108,4.33333333333333,4.06481481481481,3.76388888888889,3.78703703703704,3.76388888888889,3.75462962962963
1,"cv","A-Rlx",108,2.49074074074074,2.62037037037037,3.76388888888889,3.78703703703704,3.76388888888889,3.75462962962963
1,"cv","A-Des",108,9.82407407407407,9.75925925925926,10.5,10.5,10.5,10.4907407407407
1,"cv","ScL",108,8.99074074074074,8.78703703703704,5.06944444444444,5.11111111111111,5.06944444444444,5.12037037037037
2,"theory","L",108,5.50925925925926,5.06481481481481,5.29166666666667,5.15277777777778,5.29166666666667,5.125
2,"theory","L-Th",108,5.47222222222222,5.64814814814815,2.2037037037037,2.35648148148148,2.2037037037037,2.36574074074074
2,"theory","L-Ref",108,1.49074074074074,1.74074074074074,5.29166666666667,5.15277777777778,5.29166666666667,5.125
2,"theory","L-Rlx",108,2.06481481481481,2.05555555555556,5.29166666666667,5.15277777777778,5.29166666666667,5.125
2,"theory","L-Des",108,5.76851851851852,5.84259259259259,10.5,9.83333333333333,10.5,9.19444444444444
2,"theory","A",108,9.97685185185185,10.0555555555556,5.02777777777778,5.44444444444444,5.02777777777778,5.74074074074074
2,"theory","A-Th",108,10.7731481481481,10.8611111111111,6.85185185185185,7.30092592592593,6.85185185185185,7.83796296296296
2,"theory","A-Ref",108,6.39814814814815,6.31481481481481,5.02777777777778,5.44444444444444,5.02777777777778,5.74074074074074
2,"theory","A-Rlx",108,8.64814814814815,8.63888888888889,5.02777777777778,5.44444444444444,5.02777777777778,5.74074074074074
2,"theory","A-Des",108,5.50925925925926,5.49074074074074,10.5,9.83333333333333,10.5,9.19444444444444
2,"theory","ScL",108,4.38888888888889,4.28703703703704,4.98611111111111,4.88425925925926,4.98611111111111,4.81018518518519
2,"cv","L",108,6.23148148148148,5.9537037037037,8,8,8,8
2,"cv","L-Th",108,5.12962962962963,5.46296296296296,2.63888888888889,2.625,2.63888888888889,2.66203703703704
2,"cv","L-Ref",108,8.30555555555556,8.30555555555556,8,8,8,8
2,"cv","L-Rlx",108,6.18518518518519,6.09259259259259,8,8,8,8
2,"cv","L-Des",108,10.6111111111111,10.4537037037037,10.5,10.5,10.5,10.5
2,"cv","A",108,2.79166666666667,2.65740740740741,3.56944444444444,3.56018518518519,3.56944444444444,3.55092592592593
2,"cv","A-Th",108,2.30092592592593,2.56481481481481,2.35185185185185,2.37037037037037,2.35185185185185,2.36111111111111
2,"cv","A-Ref",108,3.78703703703704,3.67592592592593,3.56944444444444,3.56018518518519,3.56944444444444,3.55092592592593
2,"cv","A-Rlx",108,1.86111111111111,2.25925925925926,3.56944444444444,3.56018518518519,3.56944444444444,3.55092592592593
2,"cv","A-Des",108,9.72222222222222,9.67592592592593,10.5,10.5,10.5,10.5
2,"cv","ScL",108,9.07407407407407,8.89814814814815,5.30092592592593,5.32407407407407,5.30092592592593,5.32407407407407
