"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",5,100,"L",4,4,8,8,8,7
1,"theory","dgp1",5,100,"L-Th",2,2,1,1,1,1
1,"theory","dgp1",5,100,"L-Ref",3,3,8,8,8,7
1,"theory","dgp1",5,100,"L-Rlx",1,1,8,8,8,7
1,"theory","dgp1",5,100,"L-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,100,"A",10,10,3,3,3,3
1,"theory","dgp1",5,100,"A-Th",11,11,5,5,5,9
1,"theory","dgp1",5,100,"A-Ref",8,8,3,3,3,3
1,"theory","dgp1",5,100,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",5,100,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,100,"ScL",5,5,6,6,6,5
1,"theory","dgp1",5,200,"L",6,4,8,8,8,8
1,"theory","dgp1",5,200,"L-Th",3,3,3,3,3,3
1,"theory","dgp1",5,200,"L-Ref",5,6,8,8,8,8
1,"theory","dgp1",5,200,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",5,200,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,200,"A",10,10,3,3,3,3
1,"theory","dgp1",5,200,"A-Th",11,11,3,3,3,3
1,"theory","dgp1",5,200,"A-Ref",1,5,3,3,3,3
1,"theory","dgp1",5,200,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",5,200,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,200,"ScL",4,1,6,6,6,6
1,"theory","dgp1",5,300,"L",6,6,8,8,8,8
1,"theory","dgp1",5,300,"L-Th",4,4,3,3,3,3
1,"theory","dgp1",5,300,"L-Ref",3,2,8,8,8,8
1,"theory","dgp1",5,300,"L-Rlx",2,3,8,8,8,8
1,"theory","dgp1",5,300,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,300,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,300,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,300,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",5,300,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",5,300,"A-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,300,"ScL",5,5,6,6,6,6
1,"theory","dgp1",5,500,"L",6,4,8,8,8,8
1,"theory","dgp1",5,500,"L-Th",3,2,3,3,3,3
1,"theory","dgp1",5,500,"L-Ref",5,9,8,8,8,8
1,"theory","dgp1",5,500,"L-Rlx",2,6,8,8,8,8
1,"theory","dgp1",5,500,"L-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,500,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,500,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,500,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",5,500,"A-Rlx",9,5,3,3,3,3
1,"theory","dgp1",5,500,"A-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,500,"ScL",4,3,6,6,6,6
1,"theory","dgp1",5,1000,"L",6,2,8,8,8,8
1,"theory","dgp1",5,1000,"L-Th",3,5,3,3,3,3
1,"theory","dgp1",5,1000,"L-Ref",4,4,8,8,8,8
1,"theory","dgp1",5,1000,"L-Rlx",2,1,8,8,8,8
1,"theory","dgp1",5,1000,"L-Des",8,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,1000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,1000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",5,1000,"A-Ref",1,3,3,3,3,3
1,"theory","dgp1",5,1000,"A-Rlx",9,7,3,3,3,3
1,"theory","dgp1",5,1000,"A-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,1000,"ScL",5,6,6,6,6,6
1,"theory","dgp1",5,2000,"L",5,5,8,8,8,8
1,"theory","dgp1",5,2000,"L-Th",4,1,3,3,3,3
1,"theory","dgp1",5,2000,"L-Ref",3,7,8,8,8,8
1,"theory","dgp1",5,2000,"L-Rlx",2,6,8,8,8,8
1,"theory","dgp1",5,2000,"L-Des",7,11,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,2000,"A",10.5,8.5,3,3,3,3
1,"theory","dgp1",5,2000,"A-Th",10.5,8.5,3,3,3,3
1,"theory","dgp1",5,2000,"A-Ref",1,4,3,3,3,3
1,"theory","dgp1",5,2000,"A-Rlx",9,2,3,3,3,3
1,"theory","dgp1",5,2000,"A-Des",8,10,10.5,10.5,10.5,10.5
1,"theory","dgp1",5,2000,"ScL",6,3,6,6,6,6
1,"theory","dgp1",10,100,"L",3,3,8,8,8,7
1,"theory","dgp1",10,100,"L-Th",2,4,1,1,1,1
1,"theory","dgp1",10,100,"L-Ref",5,5,8,8,8,7
1,"theory","dgp1",10,100,"L-Rlx",1,1,8,8,8,7
1,"theory","dgp1",10,100,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,100,"A",10,10,3,3,3,3
